,Suburb,Rooms,Type,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longtitude,ParkingArea,Price
68,Bulleen,4,h,3/9/2016,11.8,3105,3,2,2,562,-37.7628,145.0994,Detached Garage,1110000
69,Bulleen,4,h,3/9/2016,11.8,3105,4,2,2,556,-37.7657,145.0957,Attached Garage,1235000
70,Burwood,5,h,3/9/2016,11.7,3125,4,3,2,661,-37.848,145.098,Indoor,1590000
71,Camberwell,4,h,3/9/2016,7.8,3124,4,2,1,652,-37.8286,145.0686,Parkade,2650000
72,Camberwell,3,t,3/9/2016,7.8,3124,3,1,2,389,-37.8435,145.0695,Underground,1615000
74,Camberwell,4,h,3/9/2016,7.8,3124,4,3,2,934,-37.8496,145.0869,Parking Pad,3225000
75,Canterbury,4,h,3/9/2016,9.0,3126,4,2,2,687,-37.8186,145.0706,Carport,2950000
77,Carlton North,3,h,3/9/2016,3.2,3054,3,1,1,314,-37.7871,144.9766,Attached Garage,1330000
78,Carnegie,3,u,3/9/2016,11.4,3163,3,1,2,0,-37.897,145.0623,Indoor,820000
79,Carnegie,2,t,3/9/2016,11.4,3163,2,2,1,133,-37.8911,145.0539,Parkade,795000
80,Caulfield,2,u,3/9/2016,8.9,3162,2,1,1,0,-37.8865,145.0302,Underground,722500
81,Caulfield North,3,h,3/9/2016,8.1,3161,3,1,0,513,-37.8678,145.027,Carport,1365000
82,Caulfield North,3,h,3/9/2016,8.1,3161,3,2,2,692,-37.8629,145.019,Detached Garage,1750000
84,Caulfield South,3,h,3/9/2016,9.3,3162,3,2,2,357,-37.8896,145.0307,Indoor,1577500
87,Chadstone,3,t,3/9/2016,13.6,3148,3,2,1,182,-37.8786,145.1015,Detached Garage,752000
90,Clifton Hill,3,h,3/9/2016,3.4,3068,3,2,0,187,-37.7902,144.9894,Parkade,1270000
92,Coburg,2,h,3/9/2016,7.8,3058,2,1,1,371,-37.735,144.9589,Outdoor Stall,850000
95,Coburg,3,h,3/9/2016,7.8,3058,2,1,1,286,-37.7427,144.952,Attached Garage,784000
97,Collingwood,2,t,3/9/2016,1.6,3066,2,1,1,115,-37.7968,144.9891,Parkade,750000
98,Collingwood,2,h,3/9/2016,1.6,3066,2,1,1,178,-37.7974,144.9915,Carport,890000
99,Collingwood,2,u,3/9/2016,1.6,3066,2,1,1,0,-37.8042,144.9845,Detached Garage,1260000
100,Collingwood,2,u,3/9/2016,1.6,3066,2,1,1,2886,-37.8042,144.9845,Attached Garage,855000
101,Doncaster,4,h,3/9/2016,13.9,3108,4,4,2,1157,-37.7779,145.127,Indoor,1924500
103,Doncaster,2,u,3/9/2016,13.9,3108,2,1,1,65,-37.7887,145.1438,Carport,492500
106,Elsternwick,2,h,3/9/2016,8.5,3185,2,1,2,239,-37.8845,144.999,Carport,900000
108,Elwood,1,u,3/9/2016,7.7,3184,1,1,1,0,-37.8761,144.9871,Attached Garage,520000
109,Elwood,3,t,3/9/2016,7.7,3184,3,2,2,1170,-37.8831,144.9801,Indoor,1350000
110,Essendon,3,h,3/9/2016,8.0,3040,3,2,2,684,-37.7585,144.9317,Parkade,1425000
111,Essendon,2,u,3/9/2016,8.0,3040,2,1,1,263,-37.7418,144.8977,Underground,660000
112,Essendon,2,u,3/9/2016,8.0,3040,2,1,1,0,-37.7575,144.9298,Outdoor Stall,550000
113,Essendon North,2,u,3/9/2016,9.4,3041,2,1,1,0,-37.7428,144.9086,Carport,396000
114,Fairfield,3,h,3/9/2016,5.8,3078,3,2,0,327,-37.7723,145.0179,Detached Garage,1250000
116,Fitzroy,2,h,3/9/2016,1.6,3065,2,1,0,128,-37.7941,144.9802,Indoor,1000000
117,Fitzroy,3,h,3/9/2016,1.6,3065,3,2,2,0,-37.8029,144.975,Carport,1252000
118,Fitzroy North,2,u,3/9/2016,3.5,3068,2,2,1,4332,-37.7846,144.9785,Detached Garage,700000
119,Fitzroy North,2,h,3/9/2016,3.5,3068,2,1,0,104,-37.7927,144.9796,Attached Garage,860000
120,Fitzroy North,2,h,3/9/2016,3.5,3068,2,1,0,107,-37.7898,144.9794,Indoor,870000
121,Fitzroy North,2,h,3/9/2016,3.5,3068,3,1,0,152,-37.791,144.9809,Parkade,1116000
122,Fitzroy North,4,h,3/9/2016,3.5,3068,4,2,1,266,-37.7797,144.9861,Carport,1450000
123,Fitzroy North,2,t,3/9/2016,3.5,3068,2,3,0,2778,-37.7903,144.9859,Detached Garage,930000
124,Flemington,2,h,3/9/2016,4.4,3031,2,1,1,168,-37.7835,144.9339,Attached Garage,865500
126,Footscray,3,t,3/9/2016,6.4,3011,3,1,1,259,-37.7955,144.9063,Carport,585000
127,Footscray,1,u,3/9/2016,6.4,3011,1,1,0,0,-37.7911,144.89,Detached Garage,85000
128,Glen Iris,3,h,3/9/2016,9.2,3146,3,2,3,680,-37.854,145.0832,Attached Garage,1735000
130,Glen Iris,2,h,3/9/2016,9.2,3146,3,1,2,653,-37.8573,145.077,Parkade,1699000
132,Glen Iris,4,h,3/9/2016,9.2,3146,4,3,2,856,-37.8628,145.0436,Outdoor Stall,3400000
133,Glen Iris,5,h,3/9/2016,9.2,3146,4,3,2,919,-37.8637,145.0438,Parking Pad,3730000
135,Glenroy,3,h,3/9/2016,13.0,3046,3,1,2,696,-37.6972,144.9431,Detached Garage,610000
140,Gowanbrae,3,h,3/9/2016,13.6,3043,3,2,2,608,-37.709,144.8925,Outdoor Stall,631000
141,Gowanbrae,3,t,3/9/2016,13.6,3043,3,2,1,149,-37.7068,144.8963,Parking Pad,532000
142,Hadfield,3,h,3/9/2016,12.1,3046,3,1,2,597,-37.711,144.9478,Carport,605000
144,Hadfield,3,h,3/9/2016,12.1,3046,3,1,2,724,-37.7076,144.9481,Attached Garage,685500
145,Hampton,2,u,3/9/2016,13.7,3188,2,1,1,228,-37.9355,145.0008,Indoor,895000
146,Hampton,2,u,3/9/2016,13.7,3188,2,1,1,0,-37.9419,145.0019,Parkade,587000
147,Hampton,4,h,3/9/2016,13.7,3188,3,3,2,701,-37.9419,145.0152,Underground,2800000
148,Hampton,2,u,3/9/2016,13.7,3188,2,1,1,832,-37.9387,145.0063,Carport,720000
149,Hampton,4,h,3/9/2016,13.7,3188,4,3,2,928,-37.9389,145.0062,Detached Garage,3250000
153,Hawthorn,4,h,3/9/2016,4.6,3122,4,2,2,317,-37.8344,145.0422,Carport,1650000
154,Heidelberg Heights,2,h,3/9/2016,10.5,3081,2,1,2,589,-37.7501,145.0505,Detached Garage,815000
156,Heidelberg West,5,h,3/9/2016,9.4,3081,3,2,2,415,-37.7354,145.0381,Indoor,765000
157,Heidelberg West,3,h,3/9/2016,9.4,3081,2,1,2,624,-37.7456,145.0397,Parkade,691000
159,Hughesdale,2,h,3/9/2016,13.0,3166,2,1,1,732,-37.8931,145.0791,Outdoor Stall,1550000
160,Hughesdale,2,u,3/9/2016,13.0,3166,2,1,1,0,-37.8967,145.0858,Carport,516000
161,Ivanhoe,2,u,3/9/2016,7.9,3079,2,1,1,0,-37.77,145.0472,Detached Garage,480000
163,Keilor East,3,h,3/9/2016,12.8,3033,3,2,2,683,-37.7402,144.8591,Indoor,703000
165,Keilor East,3,h,3/9/2016,12.8,3033,3,1,1,538,-37.7441,144.8503,Carport,650000
166,Kensington,3,h,3/9/2016,4.2,3031,2,1,1,258,-37.7906,144.924,Detached Garage,785000
167,Kensington,3,h,3/9/2016,4.2,3031,3,1,1,166,-37.7929,144.9197,Attached Garage,852000
168,Kensington,3,h,3/9/2016,4.2,3031,3,1,1,188,-37.7953,144.9275,Indoor,1037000
169,Kew,3,h,3/9/2016,5.6,3101,3,1,2,396,-37.8102,145.0451,Parkade,1635000
171,Kew,2,h,3/9/2016,5.6,3101,2,2,1,697,-37.812,145.0547,Detached Garage,4800000
176,Kew East,4,h,3/9/2016,7.5,3102,3,2,2,712,-37.7936,145.0566,Indoor,2490000
177,Kew East,2,u,3/9/2016,7.5,3102,2,1,1,0,-37.7971,145.0514,Parkade,620000
179,Maidstone,3,h,3/9/2016,9.2,3012,3,1,3,564,-37.7832,144.8745,Outdoor Stall,670000
180,Maidstone,3,t,3/9/2016,9.2,3012,3,2,2,165,-37.7773,144.8725,Carport,615000
181,Maidstone,3,h,3/9/2016,9.2,3012,3,1,1,576,-37.7808,144.8678,Detached Garage,715000
183,Maidstone,4,h,3/9/2016,9.2,3012,4,2,2,308,-37.7833,144.8817,Indoor,826000
188,Malvern East,3,h,3/9/2016,11.2,3145,3,1,1,322,-37.8726,145.0396,Parkade,1490000
189,Malvern East,3,h,3/9/2016,11.2,3145,3,2,1,337,-37.8833,145.0697,Carport,1210000
190,Malvern East,4,h,3/9/2016,11.2,3145,3,2,2,644,-37.8747,145.0836,Detached Garage,1300000
191,Malvern East,4,h,3/9/2016,11.2,3145,3,2,4,727,-37.8779,145.0651,Attached Garage,1675000
195,Middle Park,3,h,3/9/2016,4.1,3206,3,1,1,279,-37.8499,144.957,Attached Garage,2600000
197,Mont Albert,2,h,3/9/2016,11.8,3127,2,1,1,613,-37.8238,145.1135,Parkade,1320000
198,Mont Albert,4,h,3/9/2016,11.8,3127,4,2,2,1388,-37.82,145.1118,Underground,2850000
199,Moonee Ponds,3,u,3/9/2016,6.9,3039,3,2,2,0,-37.7672,144.9209,Outdoor Stall,670000
200,Moorabbin,3,h,3/9/2016,14.6,3189,3,1,3,834,-37.9376,145.0474,Parking Pad,1224000
201,Moorabbin,3,h,3/9/2016,14.6,3189,3,1,3,771,-37.9375,145.0474,Carport,1020000
202,Moorabbin,3,h,3/9/2016,14.6,3189,3,2,2,573,-37.9428,145.044,Detached Garage,1000000
203,Moorabbin,1,u,3/9/2016,14.6,3189,1,1,1,106,-37.9374,145.0388,Attached Garage,380500
204,Newport,3,h,3/9/2016,8.4,3015,3,2,2,301,-37.842,144.8902,Indoor,1025000
205,Newport,3,h,3/9/2016,8.4,3015,2,1,2,281,-37.8457,144.8651,Parkade,826000
206,Niddrie,3,t,3/9/2016,11.2,3042,3,3,2,303,-37.742,144.8885,Underground,830000
208,Niddrie,3,h,3/9/2016,11.2,3042,3,2,2,274,-37.7353,144.8907,Parking Pad,780000
211,North Melbourne,4,h,3/9/2016,2.3,3051,4,3,4,310,-37.7958,144.944,Attached Garage,2920000
212,North Melbourne,3,h,3/9/2016,2.3,3051,2,1,0,517,-37.7967,144.9472,Indoor,1635000
213,North Melbourne,1,u,3/9/2016,2.3,3051,1,1,1,0,-37.8044,144.9566,Parkade,491000
214,Northcote,2,h,3/9/2016,5.5,3070,2,1,1,245,-37.7662,145.0096,Underground,1286000
215,Northcote,3,h,3/9/2016,5.5,3070,3,1,1,215,-37.7759,144.9909,Carport,1200000
216,Northcote,3,h,3/9/2016,5.5,3070,3,2,2,286,-37.7708,145.0054,Detached Garage,1382500
217,Northcote,2,u,3/9/2016,5.5,3070,2,2,1,0,-37.7679,144.9994,Attached Garage,630000
218,Northcote,4,h,3/9/2016,5.5,3070,4,2,1,464,-37.7805,145.004,Indoor,1600000
220,Oak Park,3,h,3/9/2016,11.5,3046,3,1,3,757,-37.718,144.9174,Carport,892000
221,Oak Park,2,h,3/9/2016,11.5,3046,2,1,2,577,-37.7137,144.9167,Detached Garage,592000
225,Oakleigh South,3,t,3/9/2016,14.7,3167,3,2,1,189,-37.9122,145.0853,Underground,680000
226,Parkville,4,h,3/9/2016,2.6,3052,4,2,2,357,-37.7767,144.9403,Outdoor Stall,1230000
227,Pascoe Vale,3,h,3/9/2016,9.9,3044,2,1,2,50,-37.734,144.9416,Carport,1120000
228,Pascoe Vale,3,h,3/9/2016,9.9,3044,3,1,4,560,-37.7156,144.9429,Detached Garage,770000
230,Port Melbourne,2,u,3/9/2016,3.8,3207,2,2,1,0,-37.8405,144.9319,Indoor,1100000
237,Prahran,2,u,3/9/2016,4.5,3181,2,1,1,0,-37.85,145.0085,Carport,650000
238,Prahran,1,u,3/9/2016,4.5,3181,1,1,1,0,-37.8486,144.9872,Detached Garage,342000
240,Prahran,2,h,3/9/2016,4.5,3181,2,1,1,88,-37.8503,144.9913,Carport,950000
241,Prahran,2,u,3/9/2016,4.5,3181,2,1,1,0,-37.8511,145.0029,Detached Garage,781000
242,Preston,3,h,3/9/2016,8.8,3072,3,1,2,644,-37.7419,145.0049,Attached Garage,1250000
243,Preston,3,h,3/9/2016,8.8,3072,3,1,2,584,-37.7332,145.0252,Indoor,855000
244,Preston,4,h,3/9/2016,8.8,3072,4,2,2,604,-37.7369,144.9905,Parkade,930000
245,Preston,4,h,3/9/2016,8.8,3072,4,2,1,530,-37.7416,145.016,Underground,900000
247,Preston,4,h,3/9/2016,8.8,3072,3,0,0,650,-37.7346,145.0226,Carport,1004000
249,Preston,3,h,3/9/2016,8.8,3072,3,1,2,518,-37.7418,145.0095,Attached Garage,930000
252,Reservoir,3,u,3/9/2016,11.2,3073,3,1,1,191,-37.7019,145.0256,Detached Garage,475000
258,Reservoir,2,u,3/9/2016,11.2,3073,2,1,1,189,-37.708,145.0181,Attached Garage,415000
260,Richmond,2,h,3/9/2016,2.6,3121,2,1,1,125,-37.8106,144.994,Carport,937000
261,Richmond,3,h,3/9/2016,2.6,3121,2,1,0,203,-37.8166,144.9945,Detached Garage,1260000
263,Richmond,3,t,3/9/2016,2.6,3121,3,2,1,675,-37.8206,145.0003,Indoor,1236000
264,Richmond,2,u,3/9/2016,2.6,3121,2,2,1,656,-37.8195,145.0103,Parkade,540000
265,Richmond,2,u,3/9/2016,2.6,3121,2,1,2,0,-37.8164,145.0136,Underground,795250
266,Richmond,2,u,3/9/2016,2.6,3121,2,1,1,0,-37.824,144.9918,Outdoor Stall,582000
267,Richmond,1,u,3/9/2016,2.6,3121,1,1,1,0,-37.8226,145.013,Parking Pad,500000
270,Rosanna,5,h,3/9/2016,11.4,3084,4,2,1,629,-37.7395,145.0773,Attached Garage,1101500
271,Seddon,3,h,3/9/2016,6.6,3011,3,1,1,350,-37.8094,144.8869,Indoor,1145000
272,South Melbourne,2,u,3/9/2016,2.1,3205,2,2,1,0,-37.8341,144.9713,Parkade,593000
274,South Melbourne,3,h,3/9/2016,2.1,3205,3,2,1,88,-37.8363,144.9628,Outdoor Stall,1600000
277,South Yarra,1,u,3/9/2016,3.3,3141,2,1,1,0,-37.8351,144.9909,Detached Garage,430000
278,South Yarra,2,u,3/9/2016,3.3,3141,2,1,1,0,-37.8393,144.9886,Attached Garage,722000
279,South Yarra,2,u,3/9/2016,3.3,3141,2,2,2,0,-37.8361,144.9966,Indoor,930000
280,South Yarra,1,u,3/9/2016,3.3,3141,1,1,1,0,-37.8363,145.0003,Parkade,467500
281,South Yarra,2,u,3/9/2016,3.3,3141,2,1,0,0,-37.8391,144.9984,Underground,475000
282,Southbank,3,u,3/9/2016,1.2,3006,3,1,1,0,-37.8235,144.9655,Carport,720000
283,Spotswood,3,h,3/9/2016,7.7,3015,3,1,3,690,-37.8272,144.8789,Detached Garage,1040000
285,St Kilda,2,u,3/9/2016,6.1,3182,2,1,1,0,-37.8679,144.9813,Indoor,509000
287,St Kilda,1,u,3/9/2016,6.1,3182,1,1,1,0,-37.8656,144.9782,Carport,380000
292,Strathmore,3,h,3/9/2016,9.7,3041,3,2,2,662,-37.7356,144.9242,Underground,905000
296,Strathmore,4,h,3/9/2016,9.7,3041,4,2,2,699,-37.7207,144.9073,Attached Garage,1052000
300,Sunshine,2,u,3/9/2016,12.6,3020,2,1,1,79,-37.7952,144.8262,Detached Garage,260000
302,Sunshine North,4,h,3/9/2016,13.3,3020,4,1,1,683,-37.7694,144.8321,Indoor,716000
304,Sunshine West,3,h,3/9/2016,13.5,3020,3,1,2,780,-37.8004,144.8105,Carport,496000
305,Surrey Hills,4,h,3/9/2016,11.2,3127,4,3,2,596,-37.8154,145.0927,Detached Garage,2440000
306,Surrey Hills,3,t,3/9/2016,11.2,3127,4,2,2,401,-37.8332,145.1105,Attached Garage,1110000
307,Surrey Hills,4,h,3/9/2016,11.2,3127,4,3,2,771,-37.8239,145.0969,Carport,2128000
308,Surrey Hills,3,h,3/9/2016,11.2,3127,3,1,2,843,-37.822,145.0897,Detached Garage,2009000
309,Surrey Hills,5,h,3/9/2016,11.2,3127,5,3,2,735,-37.8175,145.0987,Attached Garage,2200000
310,Templestowe Lower,3,h,3/9/2016,13.8,3107,4,2,2,649,-37.7642,145.1157,Indoor,1150000
311,Templestowe Lower,4,h,3/9/2016,13.8,3107,4,2,2,657,-37.7624,145.1175,Parkade,1201000
313,Thornbury,3,u,3/9/2016,6.5,3071,3,1,1,0,-37.7591,145.0211,Outdoor Stall,510000
315,Viewbank,4,h,3/9/2016,13.8,3084,4,2,2,626,-37.735,145.0921,Detached Garage,910000
316,Viewbank,3,h,3/9/2016,13.8,3084,4,2,2,656,-37.7322,145.0995,Attached Garage,960000
318,West Melbourne,3,t,3/9/2016,1.9,3003,3,3,2,0,-37.8048,144.9424,Carport,1010000
319,Williamstown,4,h,3/9/2016,8.0,3016,3,2,1,452,-37.855,144.8905,Detached Garage,1325000
320,Williamstown,4,h,3/9/2016,8.0,3016,4,2,1,320,-37.8613,144.8988,Attached Garage,1400000
322,Williamstown,3,h,3/9/2016,8.0,3016,3,1,1,507,-37.8681,144.8994,Parkade,1535000
323,Williamstown North,2,t,3/9/2016,8.9,3016,2,1,1,53,-37.8563,144.8782,Carport,500000
324,Windsor,2,u,3/9/2016,5.1,3181,2,2,1,0,-37.8558,144.9903,Detached Garage,580000
326,Yallambie,4,h,3/9/2016,15.0,3085,4,1,1,530,-37.7251,145.1053,Indoor,700000
328,Yarraville,3,h,3/9/2016,7.0,3013,3,2,1,448,-37.8228,144.8799,Detached Garage,1000000
330,Yarraville,2,h,3/9/2016,7.0,3013,3,1,2,471,-37.8149,144.8707,Indoor,890000
331,Yarraville,2,h,3/9/2016,7.0,3013,2,1,1,134,-37.8176,144.8911,Parkade,760000
332,Yarraville,3,h,3/9/2016,7.0,3013,3,1,0,191,-37.8175,144.8879,Underground,1165000
333,Abbotsford,2,h,3/12/2016,2.5,3067,2,1,1,202,-37.7996,144.9984,Outdoor Stall,1480000
334,Airport West,3,h,3/12/2016,13.5,3042,3,2,1,0,-37.7203,144.8755,Parking Pad,730000
335,Altona,5,h,3/12/2016,13.8,3018,5,3,3,729,-37.8721,144.8105,Carport,1525000
336,Armadale,2,u,3/12/2016,6.3,3143,2,1,0,861,-37.8539,145.0284,Detached Garage,550000
337,Armadale,3,u,3/12/2016,6.3,3143,3,2,2,0,-37.8552,145.016,Attached Garage,995000
338,Armadale,3,t,3/12/2016,6.3,3143,3,2,2,101,-37.854,145.0135,Indoor,1205000
341,Armadale,3,h,3/12/2016,6.3,3143,3,2,2,296,-37.8614,145.0274,Outdoor Stall,1939000
342,Armadale,1,u,3/12/2016,6.3,3143,1,1,0,0,-37.853,145.0167,Parking Pad,421500
344,Ascot Vale,3,h,3/12/2016,5.9,3032,3,1,2,298,-37.7777,144.9195,Detached Garage,940000
345,Ascot Vale,2,u,3/12/2016,5.9,3032,2,1,1,0,-37.7761,144.9201,Attached Garage,467000
347,Ashburton,3,h,3/12/2016,11.0,3147,3,2,2,599,-37.8673,145.0688,Parkade,1670000
348,Ashburton,3,t,3/12/2016,11.0,3147,3,2,2,203,-37.8655,145.0807,Underground,955000
349,Ashburton,3,t,3/12/2016,11.0,3147,3,3,4,310,-37.874,145.0714,Carport,2050000
351,Ashwood,3,h,3/12/2016,12.2,3147,3,1,1,842,-37.867,145.1092,Attached Garage,1250000
352,Avondale Heights,3,t,3/12/2016,10.5,3034,3,3,1,557,-37.77,144.8572,Indoor,851000
354,Balaclava,2,u,3/12/2016,6.6,3183,2,1,2,0,-37.8731,144.9958,Carport,410000
355,Balwyn,3,u,3/12/2016,9.7,3103,3,2,2,206,-37.8161,145.0812,Detached Garage,1070000
358,Balwyn,5,h,3/12/2016,9.7,3103,5,3,2,715,-37.8028,145.0768,Parkade,2570000
359,Balwyn,4,h,3/12/2016,9.7,3103,4,2,2,744,-37.8147,145.0748,Underground,2400000
360,Balwyn,3,h,3/12/2016,9.7,3103,3,3,2,651,-37.8085,145.0764,Outdoor Stall,2200000
361,Balwyn,5,h,3/12/2016,9.7,3103,5,5,2,651,-37.8071,145.0908,Carport,3250000
362,Balwyn,2,u,3/12/2016,9.7,3103,2,1,1,122,-37.8124,145.0916,Detached Garage,806000
363,Balwyn,6,h,3/12/2016,9.7,3103,6,4,7,2051,-37.8051,145.1016,Attached Garage,4000000
364,Balwyn,2,h,3/12/2016,9.7,3103,2,2,2,0,-37.8134,145.0972,Indoor,1215000
365,Balwyn,5,h,3/12/2016,9.7,3103,5,3,2,600,-37.8061,145.0801,Parkade,2250000
366,Balwyn North,7,h,3/12/2016,9.2,3104,7,2,0,942,-37.7923,145.1029,Carport,1350000
367,Balwyn North,4,h,3/12/2016,9.2,3104,4,2,2,647,-37.7917,145.0868,Detached Garage,1905000
368,Balwyn North,5,h,3/12/2016,9.2,3104,5,4,2,760,-37.7907,145.0907,Attached Garage,3300000
369,Balwyn North,4,h,3/12/2016,9.2,3104,4,2,2,642,-37.7988,145.0726,Indoor,1900000
370,Balwyn North,3,h,3/12/2016,9.2,3104,3,1,2,888,-37.8002,145.0949,Parkade,2251000
374,Balwyn North,4,h,3/12/2016,9.2,3104,4,2,2,750,-37.7906,145.0788,Carport,2205000
375,Balwyn North,3,h,3/12/2016,9.2,3104,3,2,1,347,-37.7947,145.1035,Detached Garage,1265000
376,Bentleigh,2,h,3/12/2016,13.0,3204,2,1,4,730,-37.9207,145.0479,Attached Garage,1550000
377,Bentleigh,4,h,3/12/2016,13.0,3204,4,1,4,786,-37.9305,145.0449,Indoor,1420000
378,Bentleigh,3,h,3/12/2016,13.0,3204,3,2,2,613,-37.9311,145.0428,Parkade,1425000
379,Bentleigh,2,t,3/12/2016,13.0,3204,2,1,1,140,-37.9204,145.0443,Underground,851000
380,Bentleigh East,2,u,3/12/2016,13.9,3165,2,1,2,281,-37.9255,145.0796,Outdoor Stall,746000
382,Bentleigh East,1,u,3/12/2016,13.9,3165,1,1,1,105,-37.9181,145.0586,Detached Garage,580000
384,Bentleigh East,5,h,3/12/2016,13.9,3165,5,2,2,683,-37.9333,145.0602,Indoor,1275000
388,Bentleigh East,3,h,3/12/2016,13.9,3165,3,1,2,603,-37.9155,145.0723,Indoor,1206000
394,Brighton,4,h,3/12/2016,11.2,3186,4,2,2,436,-37.8927,145.0005,Carport,1830000
396,Brighton,4,h,3/12/2016,11.2,3186,4,3,2,836,-37.9071,144.9898,Attached Garage,3695000
399,Brighton,2,u,3/12/2016,11.2,3186,2,1,2,0,-37.9081,145.0043,Underground,536000
401,Brighton,4,h,3/12/2016,11.2,3186,4,3,2,742,-37.914,144.9878,Parking Pad,3700000
402,Brighton,4,h,3/12/2016,11.2,3186,4,3,2,745,-37.9139,144.9878,Carport,3775000
403,Brighton,3,h,3/12/2016,11.2,3186,3,1,2,432,-37.9172,144.996,Detached Garage,1975000
407,Brighton East,4,h,3/12/2016,10.7,3187,4,3,2,618,-37.9162,145.0219,Underground,1310000
