,Suburb,Rooms,Type,Price,Date,Postcode,Regionname,Propertycount,Distance
66,Blackburn,3,h,1110000,1/04/2017,3130,Eastern Metropolitan,5713,13.4
67,Blackburn North,4,h,960000,1/04/2017,3130,Eastern Metropolitan,2867,13.4
68,Blackburn North,5,h,1090000,1/04/2017,3130,Eastern Metropolitan,2867,13.4
69,Blackburn South,3,h,980000,1/04/2017,3130,Eastern Metropolitan,4387,13.4
71,Blackburn South,4,h,1925000,1/04/2017,3130,Eastern Metropolitan,4387,13.4
72,Blackburn South,3,u,710000,1/04/2017,3130,Eastern Metropolitan,4387,13.4
73,Bonbeach,4,h,985000,1/04/2017,3196,South-Eastern Metropolitan,2887,27.0
75,Box Hill,2,u,420000,1/04/2017,3128,Eastern Metropolitan,4605,10.9
76,Braybrook,3,h,500500,1/04/2017,3019,Western Metropolitan,3589,8.6
77,Braybrook,2,h,490000,1/04/2017,3019,Western Metropolitan,3589,8.6
78,Braybrook,2,t,500000,1/04/2017,3019,Western Metropolitan,3589,8.6
82,Brighton,4,h,2250000,1/04/2017,3186,Southern Metropolitan,10579,10.5
87,Brighton East,3,h,1958000,1/04/2017,3187,Southern Metropolitan,6938,10.3
88,Brighton East,4,h,2137000,1/04/2017,3187,Southern Metropolitan,6938,10.3
90,Brighton East,4,h,2975000,1/04/2017,3187,Southern Metropolitan,6938,10.3
92,Broadmeadows,3,h,457000,1/04/2017,3047,Northern Metropolitan,4294,14.0
94,Brunswick,2,h,740000,1/04/2017,3056,Northern Metropolitan,11918,5.2
96,Brunswick,3,h,900000,1/04/2017,3056,Northern Metropolitan,11918,5.2
97,Brunswick,4,h,1250000,1/04/2017,3056,Northern Metropolitan,11918,5.2
99,Brunswick,2,h,1225000,1/04/2017,3056,Northern Metropolitan,11918,5.2
100,Brunswick,3,h,1120000,1/04/2017,3056,Northern Metropolitan,11918,5.2
101,Brunswick,2,t,560000,1/04/2017,3056,Northern Metropolitan,11918,5.2
102,Brunswick,3,h,1685000,1/04/2017,3056,Northern Metropolitan,11918,5.2
103,Brunswick,2,u,625000,1/04/2017,3056,Northern Metropolitan,11918,5.2
104,Brunswick East,3,h,1470000,1/04/2017,3057,Northern Metropolitan,5533,4.0
105,Brunswick East,2,h,860000,1/04/2017,3057,Northern Metropolitan,5533,4.0
106,Brunswick West,3,t,900000,1/04/2017,3055,Northern Metropolitan,7082,5.2
107,Brunswick West,2,u,398000,1/04/2017,3055,Northern Metropolitan,7082,5.2
108,Brunswick West,2,h,576000,1/04/2017,3055,Northern Metropolitan,7082,5.2
109,Brunswick West,4,h,1400000,1/04/2017,3055,Northern Metropolitan,7082,5.2
111,Brunswick West,3,h,850000,1/04/2017,3055,Northern Metropolitan,7082,5.2
112,Bulleen,4,h,1150000,1/04/2017,3105,Eastern Metropolitan,4480,10.8
113,Bundoora,2,t,525000,1/04/2017,3083,Northern Metropolitan,10175,12.1
114,Bundoora,4,h,740000,1/04/2017,3083,Northern Metropolitan,10175,12.1
115,Bundoora,2,u,340000,1/04/2017,3083,Northern Metropolitan,10175,12.1
116,Burwood,5,h,1265000,1/04/2017,3125,Southern Metropolitan,5678,10.4
117,Burwood,3,h,1000000,1/04/2017,3125,Southern Metropolitan,5678,10.4
118,Burwood East,4,t,1460000,1/04/2017,3151,Eastern Metropolitan,4048,14.7
119,Burwood East,4,t,1200000,1/04/2017,3151,Eastern Metropolitan,4048,14.7
120,Burwood East,4,h,935000,1/04/2017,3151,Eastern Metropolitan,4048,14.7
121,Burwood East,3,u,780000,1/04/2017,3151,Eastern Metropolitan,4048,14.7
122,Camberwell,2,u,868000,1/04/2017,3124,Southern Metropolitan,8920,7.7
123,Camberwell,3,t,1375000,1/04/2017,3124,Southern Metropolitan,8920,7.7
124,Camberwell,2,h,1235000,1/04/2017,3124,Southern Metropolitan,8920,7.7
125,Camberwell,3,h,1510000,1/04/2017,3124,Southern Metropolitan,8920,7.7
126,Camberwell,3,h,1520000,1/04/2017,3124,Southern Metropolitan,8920,7.7
127,Camberwell,2,u,835000,1/04/2017,3124,Southern Metropolitan,8920,7.7
128,Camberwell,2,u,495000,1/04/2017,3124,Southern Metropolitan,8920,7.7
130,Camberwell,4,h,2100500,1/04/2017,3124,Southern Metropolitan,8920,7.7
131,Canterbury,5,h,3300000,1/04/2017,3126,Southern Metropolitan,3265,8.4
133,Carlton North,2,h,1470000,1/04/2017,3054,Northern Metropolitan,3106,3.5
134,Carlton North,3,h,2410000,1/04/2017,3054,Northern Metropolitan,3106,3.5
135,Carnegie,4,h,1775000,1/04/2017,3163,Southern Metropolitan,7822,10.1
137,Carnegie,1,u,295000,1/04/2017,3163,Southern Metropolitan,7822,10.1
138,Caroline Springs,4,h,629000,1/04/2017,3023,Western Metropolitan,7719,14.8
139,Caroline Springs,2,t,406000,1/04/2017,3023,Western Metropolitan,7719,14.8
140,Carrum,3,h,825000,1/04/2017,3197,South-Eastern Metropolitan,1989,31.2
141,Carrum Downs,4,h,581500,1/04/2017,3201,South-Eastern Metropolitan,8060,34.9
142,Caulfield East,3,h,1400000,1/04/2017,3145,Southern Metropolitan,608,8.4
145,Caulfield South,3,h,1538000,1/04/2017,3162,Southern Metropolitan,5051,8.7
146,Chadstone,3,h,1354000,1/04/2017,3148,Southern Metropolitan,3582,11.7
147,Chelsea,3,u,886000,1/04/2017,3196,South-Eastern Metropolitan,3906,27.0
150,Clayton,7,h,4000000,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7
151,Clayton,4,t,1010000,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7
152,Clayton,2,t,697500,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7
154,Clayton South,3,h,800000,1/04/2017,3169,South-Eastern Metropolitan,4734,17.5
156,Clifton Hill,3,h,1805000,1/04/2017,3068,Northern Metropolitan,2954,3.6
157,Clifton Hill,3,h,1400000,1/04/2017,3068,Northern Metropolitan,2954,3.6
158,Coburg,3,h,1032500,1/04/2017,3058,Northern Metropolitan,11204,6.7
159,Coburg,3,h,1070000,1/04/2017,3058,Northern Metropolitan,11204,6.7
160,Coburg,3,h,1005000,1/04/2017,3058,Northern Metropolitan,11204,6.7
161,Coburg,2,h,905000,1/04/2017,3058,Northern Metropolitan,11204,6.7
162,Coburg,2,u,412000,1/04/2017,3058,Northern Metropolitan,11204,6.7
163,Coburg,1,u,333000,1/04/2017,3058,Northern Metropolitan,11204,6.7
164,Coburg,2,h,797500,1/04/2017,3058,Northern Metropolitan,11204,6.7
165,Coburg,2,u,430000,1/04/2017,3058,Northern Metropolitan,11204,6.7
166,Coburg North,2,t,490000,1/04/2017,3058,Northern Metropolitan,3445,6.7
167,Coburg North,4,h,960000,1/04/2017,3058,Northern Metropolitan,3445,6.7
169,Collingwood,2,u,960000,1/04/2017,3066,Northern Metropolitan,4553,2.0
170,Craigieburn,3,h,356500,1/04/2017,3064,Northern Metropolitan,15510,20.6
172,Craigieburn,4,h,580500,1/04/2017,3064,Northern Metropolitan,15510,20.6
173,Craigieburn,3,h,573000,1/04/2017,3064,Northern Metropolitan,15510,20.6
174,Craigieburn,4,h,475000,1/04/2017,3064,Northern Metropolitan,15510,20.6
175,Craigieburn,3,t,385000,1/04/2017,3064,Northern Metropolitan,15510,20.6
177,Cranbourne North,3,h,475000,1/04/2017,3977,South-Eastern Metropolitan,6464,34.7
178,Croydon,3,t,744000,1/04/2017,3136,Eastern Metropolitan,11925,23.0
181,Croydon,3,h,746000,1/04/2017,3136,Eastern Metropolitan,11925,23.0
182,Croydon,3,h,965000,1/04/2017,3136,Eastern Metropolitan,11925,23.0
183,Dallas,3,h,455500,1/04/2017,3047,Northern Metropolitan,2246,14.0
184,Dandenong,3,h,800000,1/04/2017,3175,South-Eastern Metropolitan,10894,24.7
185,Dandenong,3,h,610000,1/04/2017,3175,South-Eastern Metropolitan,10894,24.7
187,Dandenong North,2,u,307000,1/04/2017,3175,South-Eastern Metropolitan,8322,24.7
189,Deepdene,2,h,1610000,1/04/2017,3103,Southern Metropolitan,892,7.9
190,Deer Park,5,h,589000,1/04/2017,3023,Western Metropolitan,6388,14.8
191,Deer Park,4,h,603000,1/04/2017,3023,Western Metropolitan,6388,14.8
192,Delahey,3,h,335000,1/04/2017,3037,Western Metropolitan,2898,18.0
193,Diamond Creek,4,h,730000,1/04/2017,3089,Northern Victoria,4258,21.8
194,Dingley Village,4,h,920000,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2
195,Dingley Village,3,h,770000,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2
196,Dingley Village,4,h,1140000,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2
197,Dingley Village,4,h,910000,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2
198,Dingley Village,4,h,883850,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2
199,Doncaster,4,h,1556000,1/04/2017,3108,Eastern Metropolitan,9028,12.4
201,Doncaster East,4,h,1249000,1/04/2017,3109,Eastern Metropolitan,10999,14.3
202,Doncaster East,3,t,950000,1/04/2017,3109,Eastern Metropolitan,10999,14.3
203,Doncaster East,3,t,820000,1/04/2017,3109,Eastern Metropolitan,10999,14.3
204,Doncaster East,4,h,1730000,1/04/2017,3109,Eastern Metropolitan,10999,14.3
206,Donvale,3,h,1260000,1/04/2017,3111,Eastern Metropolitan,4790,16.1
207,Donvale,4,h,1300000,1/04/2017,3111,Eastern Metropolitan,4790,16.1
208,Eaglemont,3,h,1820000,1/04/2017,3084,Eastern Metropolitan,1651,8.9
209,East Melbourne,1,u,675000,1/04/2017,3002,Northern Metropolitan,3040,1.3
210,East Melbourne,4,h,4150000,1/04/2017,3002,Northern Metropolitan,3040,1.3
211,Edithvale,3,h,1130000,1/04/2017,3196,South-Eastern Metropolitan,2546,27.0
212,Elsternwick,3,t,1683000,1/04/2017,3185,Southern Metropolitan,4898,7.2
214,Elsternwick,3,h,2250000,1/04/2017,3185,Southern Metropolitan,4898,7.2
215,Eltham,3,h,840500,1/04/2017,3095,Eastern Metropolitan,6990,18.0
216,Eltham,3,h,900000,1/04/2017,3095,Eastern Metropolitan,6990,18.0
217,Eltham,3,h,837000,1/04/2017,3095,Eastern Metropolitan,6990,18.0
218,Eltham North,4,h,1000000,1/04/2017,3095,Eastern Metropolitan,2346,18.0
220,Elwood,2,u,800000,1/04/2017,3184,Southern Metropolitan,8989,7.2
221,Elwood,2,u,805000,1/04/2017,3184,Southern Metropolitan,8989,7.2
224,Elwood,4,h,2985000,1/04/2017,3184,Southern Metropolitan,8989,7.2
226,Endeavour Hills,4,h,690000,1/04/2017,3802,South-Eastern Metropolitan,8443,28.5
227,Epping,3,h,497000,1/04/2017,3076,Northern Metropolitan,10926,19.6
228,Epping,3,h,507500,1/04/2017,3076,Northern Metropolitan,10926,19.6
229,Epping,5,h,1010000,1/04/2017,3076,Northern Metropolitan,10926,19.6
230,Essendon,4,h,1930000,1/04/2017,3040,Western Metropolitan,9264,7.5
231,Essendon,4,h,1399000,1/04/2017,3040,Western Metropolitan,9264,7.5
232,Essendon,3,h,1512000,1/04/2017,3040,Western Metropolitan,9264,7.5
233,Essendon,4,h,2000000,1/04/2017,3040,Western Metropolitan,9264,7.5
234,Essendon,3,u,552000,1/04/2017,3040,Western Metropolitan,9264,7.5
235,Essendon,2,u,860000,1/04/2017,3040,Western Metropolitan,9264,7.5
236,Essendon North,4,h,946000,1/04/2017,3041,Western Metropolitan,1308,8.2
237,Essendon West,3,h,1430000,1/04/2017,3040,Western Metropolitan,588,7.5
238,Fairfield,4,h,1270000,1/04/2017,3078,Northern Metropolitan,2970,5.7
239,Fawkner,3,h,635000,1/04/2017,3060,Northern Metropolitan,5070,13.1
240,Fawkner,3,h,630000,1/04/2017,3060,Northern Metropolitan,5070,13.1
241,Fawkner,3,h,705000,1/04/2017,3060,Northern Metropolitan,5070,13.1
242,Fawkner,3,t,625000,1/04/2017,3060,Northern Metropolitan,5070,13.1
243,Ferntree Gully,3,h,665508,1/04/2017,3156,Eastern Metropolitan,10788,24.8
244,Ferntree Gully,3,h,691000,1/04/2017,3156,Eastern Metropolitan,10788,24.8
246,Ferntree Gully,4,h,815000,1/04/2017,3156,Eastern Metropolitan,10788,24.8
247,Ferntree Gully,3,h,730000,1/04/2017,3156,Eastern Metropolitan,10788,24.8
249,Fitzroy,1,u,720000,1/04/2017,3065,Northern Metropolitan,5825,2.1
250,Fitzroy North,3,h,1890000,1/04/2017,3068,Northern Metropolitan,6244,3.6
251,Fitzroy North,3,h,1454000,1/04/2017,3068,Northern Metropolitan,6244,3.6
252,Fitzroy North,4,h,2061000,1/04/2017,3068,Northern Metropolitan,6244,3.6
253,Fitzroy North,3,h,1310000,1/04/2017,3068,Northern Metropolitan,6244,3.6
254,Fitzroy North,2,u,995000,1/04/2017,3068,Northern Metropolitan,6244,3.6
255,Fitzroy North,4,h,3259000,1/04/2017,3068,Northern Metropolitan,6244,3.6
258,Fitzroy North,2,h,1325000,1/04/2017,3068,Northern Metropolitan,6244,3.6
259,Footscray,1,u,331000,1/04/2017,3011,Western Metropolitan,7570,5.1
260,Footscray,3,h,1000000,1/04/2017,3011,Western Metropolitan,7570,5.1
261,Footscray,2,t,771000,1/04/2017,3011,Western Metropolitan,7570,5.1
262,Forest Hill,3,h,1260000,1/04/2017,3131,Eastern Metropolitan,4385,15.4
263,Frankston,3,h,508000,1/04/2017,3199,South-Eastern Metropolitan,17055,38.0
264,Frankston,2,h,501500,1/04/2017,3199,South-Eastern Metropolitan,17055,38.0
265,Frankston North,3,h,450000,1/04/2017,3200,Eastern Victoria,2500,36.9
266,Frankston South,4,h,351000,1/04/2017,3199,South-Eastern Metropolitan,7566,38.0
267,Gladstone Park,4,h,650000,1/04/2017,3043,Western Metropolitan,3285,12.9
269,Glen Iris,3,h,3730000,1/04/2017,3146,Southern Metropolitan,10412,7.3
270,Glen Iris,3,h,1225000,1/04/2017,3146,Southern Metropolitan,10412,7.3
272,Glen Iris,4,h,1500000,1/04/2017,3146,Southern Metropolitan,10412,7.3
275,Glen Waverley,4,t,1100080,1/04/2017,3150,Eastern Metropolitan,15321,16.7
276,Glen Waverley,4,h,1520000,1/04/2017,3150,Eastern Metropolitan,15321,16.7
277,Glen Waverley,7,h,1716000,1/04/2017,3150,Eastern Metropolitan,15321,16.7
278,Glen Waverley,5,h,1100000,1/04/2017,3150,Eastern Metropolitan,15321,16.7
279,Glen Waverley,4,h,1467000,1/04/2017,3150,Eastern Metropolitan,15321,16.7
280,Glen Waverley,3,h,1600000,1/04/2017,3150,Eastern Metropolitan,15321,16.7
281,Glen Waverley,4,h,1311000,1/04/2017,3150,Eastern Metropolitan,15321,16.7
283,Glenroy,3,t,582000,1/04/2017,3046,Northern Metropolitan,8870,11.2
284,Gowanbrae,3,h,536000,1/04/2017,3043,Western Metropolitan,1071,12.9
285,Gowanbrae,3,h,696000,1/04/2017,3043,Western Metropolitan,1071,12.9
286,Greensborough,3,h,757000,1/04/2017,3088,Northern Metropolitan,8524,16.1
287,Greensborough,4,h,860000,1/04/2017,3088,Northern Metropolitan,8524,16.1
288,Greensborough,3,h,768000,1/04/2017,3088,Northern Metropolitan,8524,16.1
289,Greensborough,4,h,812000,1/04/2017,3088,Northern Metropolitan,8524,16.1
290,Greensborough,3,h,782000,1/04/2017,3088,Northern Metropolitan,8524,16.1
291,Greensborough,3,h,725000,1/04/2017,3088,Northern Metropolitan,8524,16.1
292,Greensborough,4,h,680000,1/04/2017,3088,Northern Metropolitan,8524,16.1
293,Greensborough,3,h,882000,1/04/2017,3088,Northern Metropolitan,8524,16.1
295,Greenvale,4,h,632000,1/04/2017,3059,Northern Metropolitan,4864,20.4
297,Hadfield,4,h,812000,1/04/2017,3046,Northern Metropolitan,2606,11.2
298,Hadfield,3,h,837000,1/04/2017,3046,Northern Metropolitan,2606,11.2
299,Hadfield,3,h,473000,1/04/2017,3046,Northern Metropolitan,2606,11.2
301,Hampton,3,h,2288500,1/04/2017,3188,Southern Metropolitan,5454,13.8
302,Hampton,2,u,750000,1/04/2017,3188,Southern Metropolitan,5454,13.8
303,Hampton,3,t,1510000,1/04/2017,3188,Southern Metropolitan,5454,13.8
304,Hampton,3,h,1500000,1/04/2017,3188,Southern Metropolitan,5454,13.8
305,Hawthorn,3,u,855000,1/04/2017,3122,Southern Metropolitan,11308,5.3
308,Hawthorn,2,u,490000,1/04/2017,3122,Southern Metropolitan,11308,5.3
309,Hawthorn,2,u,620000,1/04/2017,3122,Southern Metropolitan,11308,5.3
310,Hawthorn,2,u,600000,1/04/2017,3122,Southern Metropolitan,11308,5.3
312,Hawthorn,3,u,975000,1/04/2017,3122,Southern Metropolitan,11308,5.3
314,Heidelberg,2,u,655000,1/04/2017,3084,Eastern Metropolitan,2890,8.9
315,Heidelberg,4,h,1420000,1/04/2017,3084,Eastern Metropolitan,2890,8.9
316,Heidelberg Heights,3,h,786000,1/04/2017,3081,Eastern Metropolitan,2947,8.8
318,Heidelberg Heights,3,h,959000,1/04/2017,3081,Eastern Metropolitan,2947,8.8
319,Heidelberg West,3,h,720000,1/04/2017,3081,Eastern Metropolitan,2674,8.8
321,Highett,3,h,1322000,1/04/2017,3190,Southern Metropolitan,4794,16.0
323,Hillside,4,h,612500,1/04/2017,3037,Western Metropolitan,5556,18.0
324,Hillside,4,h,630000,1/04/2017,3037,Western Metropolitan,5556,18.0
325,Hoppers Crossing,4,h,715000,1/04/2017,3029,Western Metropolitan,13830,18.4
327,Hoppers Crossing,4,h,686500,1/04/2017,3029,Western Metropolitan,13830,18.4
328,Hughesdale,2,h,1065000,1/04/2017,3166,Southern Metropolitan,3145,12.3
329,Hughesdale,4,h,1355000,1/04/2017,3166,Southern Metropolitan,3145,12.3
330,Huntingdale,3,h,1145000,1/04/2017,3166,Southern Metropolitan,768,12.3
331,Ivanhoe,2,h,792000,1/04/2017,3079,Eastern Metropolitan,5549,7.8
332,Ivanhoe,3,h,1440000,1/04/2017,3079,Eastern Metropolitan,5549,7.8
334,Ivanhoe,2,u,660000,1/04/2017,3079,Eastern Metropolitan,5549,7.8
335,Ivanhoe,3,h,1977000,1/04/2017,3079,Eastern Metropolitan,5549,7.8
336,Ivanhoe,3,h,1840000,1/04/2017,3079,Eastern Metropolitan,5549,7.8
337,Ivanhoe,4,h,1275000,1/04/2017,3079,Eastern Metropolitan,5549,7.8
338,Ivanhoe East,3,h,1781000,1/04/2017,3079,Eastern Metropolitan,1554,7.8
339,Jacana,3,h,575000,1/04/2017,3047,Northern Metropolitan,851,14.0
340,Jacana,3,h,542000,1/04/2017,3047,Northern Metropolitan,851,14.0
341,Keilor Downs,3,h,569000,1/04/2017,3038,Western Metropolitan,3656,15.5
342,Keilor East,3,h,950000,1/04/2017,3033,Western Metropolitan,5629,11.7
343,Keilor East,4,h,850000,1/04/2017,3033,Western Metropolitan,5629,11.7
345,Keilor East,3,h,756000,1/04/2017,3033,Western Metropolitan,5629,11.7
347,Keilor East,3,u,680000,1/04/2017,3033,Western Metropolitan,5629,11.7
348,Kensington,1,u,360000,1/04/2017,3031,Northern Metropolitan,5263,3.4
349,Kensington,1,u,325000,1/04/2017,3031,Northern Metropolitan,5263,3.4
350,Kensington,4,h,1103000,1/04/2017,3031,Northern Metropolitan,5263,3.4
351,Kensington,2,h,901000,1/04/2017,3031,Northern Metropolitan,5263,3.4
353,Kew,2,u,653000,1/04/2017,3101,Southern Metropolitan,10331,5.4
356,Kew,3,h,2000000,1/04/2017,3101,Southern Metropolitan,10331,5.4
358,Kew,4,h,1610000,1/04/2017,3101,Southern Metropolitan,10331,5.4
361,Kew,4,h,2315000,1/04/2017,3101,Southern Metropolitan,10331,5.4
362,Kew,3,h,1050000,1/04/2017,3101,Southern Metropolitan,10331,5.4
364,Kew,3,h,2155000,1/04/2017,3101,Southern Metropolitan,10331,5.4
365,Kew,3,u,830000,1/04/2017,3101,Southern Metropolitan,10331,5.4
367,Kew East,4,h,1770000,1/04/2017,3102,Southern Metropolitan,2671,7.3
368,Keysborough,3,h,600000,1/04/2017,3173,South-Eastern Metropolitan,8459,25.2
374,Lalor,3,h,592000,1/04/2017,3075,Northern Metropolitan,8279,16.3
377,MacLeod,4,h,1120000,1/04/2017,3085,Northern Metropolitan,4168,12.7
378,MacLeod,3,u,710000,1/04/2017,3085,Northern Metropolitan,4168,12.7
379,MacLeod,3,h,915000,1/04/2017,3085,Northern Metropolitan,4168,12.7
381,Malvern,1,u,360000,1/04/2017,3144,Southern Metropolitan,4675,5.9
382,Malvern,4,h,2400000,1/04/2017,3144,Southern Metropolitan,4675,5.9
383,Malvern,3,h,1350000,1/04/2017,3144,Southern Metropolitan,4675,5.9
384,Malvern,1,u,450000,1/04/2017,3144,Southern Metropolitan,4675,5.9
387,Malvern East,3,h,2000000,1/04/2017,3145,Southern Metropolitan,8801,8.4
388,Malvern East,3,t,1150000,1/04/2017,3145,Southern Metropolitan,8801,8.4
389,Maribyrnong,3,h,813000,1/04/2017,3032,Western Metropolitan,4918,4.3
390,Maribyrnong,2,u,330000,1/04/2017,3032,Western Metropolitan,4918,4.3
391,Maribyrnong,5,h,1425000,1/04/2017,3032,Western Metropolitan,4918,4.3
392,McKinnon,3,u,875000,1/04/2017,3204,Southern Metropolitan,2397,11.4
393,McKinnon,2,h,1265000,1/04/2017,3204,Southern Metropolitan,2397,11.4
394,McKinnon,3,h,1200000,1/04/2017,3204,Southern Metropolitan,2397,11.4
395,Meadow Heights,3,h,520000,1/04/2017,3048,Northern Metropolitan,4704,17.4
396,Melbourne,2,u,605000,1/04/2017,3000,Northern Metropolitan,17496,0.0
397,Melbourne,2,u,649000,1/04/2017,3000,Northern Metropolitan,17496,0.0
398,Melbourne,1,u,440000,1/04/2017,3000,Northern Metropolitan,17496,0.0
399,Melton,3,h,431000,1/04/2017,3337,Western Victoria,3600,31.7
400,Mentone,4,h,1300000,1/04/2017,3194,South-Eastern Metropolitan,6162,20.0
401,Mentone,1,u,337000,1/04/2017,3194,South-Eastern Metropolitan,6162,20.0
403,Mernda,4,h,525500,1/04/2017,3754,Northern Metropolitan,5812,25.9
404,Middle Park,2,u,800000,1/04/2017,3206,Southern Metropolitan,2019,3.0
405,Mill Park,3,h,425000,1/04/2017,3082,Northern Metropolitan,10529,17.9
406,Mill Park,3,h,595500,1/04/2017,3082,Northern Metropolitan,10529,17.9
407,Mill Park,3,h,660000,1/04/2017,3082,Northern Metropolitan,10529,17.9
409,Mitcham,3,h,1300000,1/04/2017,3132,Eastern Metropolitan,6871,17.2
410,Montmorency,3,h,820000,1/04/2017,3094,Eastern Metropolitan,3891,16.2
411,Montmorency,3,h,725000,1/04/2017,3094,Eastern Metropolitan,3891,16.2
412,Moonee Ponds,2,h,1180000,1/04/2017,3039,Western Metropolitan,6232,6.2
413,Moonee Ponds,2,h,910000,1/04/2017,3039,Western Metropolitan,6232,6.2
