,Date,Suburb,Postcode,Distance,Type,Rooms,Price
194,1/04/2017,Dingley Village,3172,22.2,h,4,920000
195,1/04/2017,Dingley Village,3172,22.2,h,3,770000
196,1/04/2017,Dingley Village,3172,22.2,h,4,1140000
197,1/04/2017,Dingley Village,3172,22.2,h,4,910000
198,1/04/2017,Dingley Village,3172,22.2,h,4,883850
199,1/04/2017,Doncaster,3108,12.4,h,4,1556000
201,1/04/2017,Doncaster East,3109,14.3,h,4,1249000
202,1/04/2017,Doncaster East,3109,14.3,t,3,950000
203,1/04/2017,Doncaster East,3109,14.3,t,3,820000
204,1/04/2017,Doncaster East,3109,14.3,h,4,1730000
206,1/04/2017,Donvale,3111,16.1,h,3,1260000
207,1/04/2017,Donvale,3111,16.1,h,4,1300000
208,1/04/2017,Eaglemont,3084,8.9,h,3,1820000
209,1/04/2017,East Melbourne,3002,1.3,u,1,675000
210,1/04/2017,East Melbourne,3002,1.3,h,4,4150000
211,1/04/2017,Edithvale,3196,27.0,h,3,1130000
212,1/04/2017,Elsternwick,3185,7.2,t,3,1683000
214,1/04/2017,Elsternwick,3185,7.2,h,3,2250000
215,1/04/2017,Eltham,3095,18.0,h,3,840500
216,1/04/2017,Eltham,3095,18.0,h,3,900000
217,1/04/2017,Eltham,3095,18.0,h,3,837000
218,1/04/2017,Eltham North,3095,18.0,h,4,1000000
220,1/04/2017,Elwood,3184,7.2,u,2,800000
221,1/04/2017,Elwood,3184,7.2,u,2,805000
224,1/04/2017,Elwood,3184,7.2,h,4,2985000
226,1/04/2017,Endeavour Hills,3802,28.5,h,4,690000
227,1/04/2017,Epping,3076,19.6,h,3,497000
228,1/04/2017,Epping,3076,19.6,h,3,507500
229,1/04/2017,Epping,3076,19.6,h,5,1010000
230,1/04/2017,Essendon,3040,7.5,h,4,1930000
231,1/04/2017,Essendon,3040,7.5,h,4,1399000
232,1/04/2017,Essendon,3040,7.5,h,3,1512000
233,1/04/2017,Essendon,3040,7.5,h,4,2000000
234,1/04/2017,Essendon,3040,7.5,u,3,552000
235,1/04/2017,Essendon,3040,7.5,u,2,860000
236,1/04/2017,Essendon North,3041,8.2,h,4,946000
237,1/04/2017,Essendon West,3040,7.5,h,3,1430000
238,1/04/2017,Fairfield,3078,5.7,h,4,1270000
239,1/04/2017,Fawkner,3060,13.1,h,3,635000
240,1/04/2017,Fawkner,3060,13.1,h,3,630000
241,1/04/2017,Fawkner,3060,13.1,h,3,705000
242,1/04/2017,Fawkner,3060,13.1,t,3,625000
243,1/04/2017,Ferntree Gully,3156,24.8,h,3,665508
244,1/04/2017,Ferntree Gully,3156,24.8,h,3,691000
246,1/04/2017,Ferntree Gully,3156,24.8,h,4,815000
247,1/04/2017,Ferntree Gully,3156,24.8,h,3,730000
249,1/04/2017,Fitzroy,3065,2.1,u,1,720000
250,1/04/2017,Fitzroy North,3068,3.6,h,3,1890000
251,1/04/2017,Fitzroy North,3068,3.6,h,3,1454000
252,1/04/2017,Fitzroy North,3068,3.6,h,4,2061000
253,1/04/2017,Fitzroy North,3068,3.6,h,3,1310000
254,1/04/2017,Fitzroy North,3068,3.6,u,2,995000
255,1/04/2017,Fitzroy North,3068,3.6,h,4,3259000
258,1/04/2017,Fitzroy North,3068,3.6,h,2,1325000
259,1/04/2017,Footscray,3011,5.1,u,1,331000
260,1/04/2017,Footscray,3011,5.1,h,3,1000000
261,1/04/2017,Footscray,3011,5.1,t,2,771000
262,1/04/2017,Forest Hill,3131,15.4,h,3,1260000
263,1/04/2017,Frankston,3199,38.0,h,3,508000
264,1/04/2017,Frankston,3199,38.0,h,2,501500
265,1/04/2017,Frankston North,3200,36.9,h,3,450000
266,1/04/2017,Frankston South,3199,38.0,h,4,351000
267,1/04/2017,Gladstone Park,3043,12.9,h,4,650000
269,1/04/2017,Glen Iris,3146,7.3,h,3,3730000
270,1/04/2017,Glen Iris,3146,7.3,h,3,1225000
272,1/04/2017,Glen Iris,3146,7.3,h,4,1500000
275,1/04/2017,Glen Waverley,3150,16.7,t,4,1100080
276,1/04/2017,Glen Waverley,3150,16.7,h,4,1520000
277,1/04/2017,Glen Waverley,3150,16.7,h,7,1716000
278,1/04/2017,Glen Waverley,3150,16.7,h,5,1100000
279,1/04/2017,Glen Waverley,3150,16.7,h,4,1467000
280,1/04/2017,Glen Waverley,3150,16.7,h,3,1600000
281,1/04/2017,Glen Waverley,3150,16.7,h,4,1311000
283,1/04/2017,Glenroy,3046,11.2,t,3,582000
284,1/04/2017,Gowanbrae,3043,12.9,h,3,536000
285,1/04/2017,Gowanbrae,3043,12.9,h,3,696000
286,1/04/2017,Greensborough,3088,16.1,h,3,757000
287,1/04/2017,Greensborough,3088,16.1,h,4,860000
288,1/04/2017,Greensborough,3088,16.1,h,3,768000
289,1/04/2017,Greensborough,3088,16.1,h,4,812000
290,1/04/2017,Greensborough,3088,16.1,h,3,782000
291,1/04/2017,Greensborough,3088,16.1,h,3,725000
292,1/04/2017,Greensborough,3088,16.1,h,4,680000
293,1/04/2017,Greensborough,3088,16.1,h,3,882000
295,1/04/2017,Greenvale,3059,20.4,h,4,632000
297,1/04/2017,Hadfield,3046,11.2,h,4,812000
298,1/04/2017,Hadfield,3046,11.2,h,3,837000
299,1/04/2017,Hadfield,3046,11.2,h,3,473000
301,1/04/2017,Hampton,3188,13.8,h,3,2288500
302,1/04/2017,Hampton,3188,13.8,u,2,750000
303,1/04/2017,Hampton,3188,13.8,t,3,1510000
304,1/04/2017,Hampton,3188,13.8,h,3,1500000
305,1/04/2017,Hawthorn,3122,5.3,u,3,855000
308,1/04/2017,Hawthorn,3122,5.3,u,2,490000
309,1/04/2017,Hawthorn,3122,5.3,u,2,620000
310,1/04/2017,Hawthorn,3122,5.3,u,2,600000
312,1/04/2017,Hawthorn,3122,5.3,u,3,975000
314,1/04/2017,Heidelberg,3084,8.9,u,2,655000
315,1/04/2017,Heidelberg,3084,8.9,h,4,1420000
316,1/04/2017,Heidelberg Heights,3081,8.8,h,3,786000
318,1/04/2017,Heidelberg Heights,3081,8.8,h,3,959000
319,1/04/2017,Heidelberg West,3081,8.8,h,3,720000
321,1/04/2017,Highett,3190,16.0,h,3,1322000
323,1/04/2017,Hillside,3037,18.0,h,4,612500
324,1/04/2017,Hillside,3037,18.0,h,4,630000
325,1/04/2017,Hoppers Crossing,3029,18.4,h,4,715000
327,1/04/2017,Hoppers Crossing,3029,18.4,h,4,686500
328,1/04/2017,Hughesdale,3166,12.3,h,2,1065000
329,1/04/2017,Hughesdale,3166,12.3,h,4,1355000
330,1/04/2017,Huntingdale,3166,12.3,h,3,1145000
331,1/04/2017,Ivanhoe,3079,7.8,h,2,792000
332,1/04/2017,Ivanhoe,3079,7.8,h,3,1440000
334,1/04/2017,Ivanhoe,3079,7.8,u,2,660000
335,1/04/2017,Ivanhoe,3079,7.8,h,3,1977000
336,1/04/2017,Ivanhoe,3079,7.8,h,3,1840000
337,1/04/2017,Ivanhoe,3079,7.8,h,4,1275000
338,1/04/2017,Ivanhoe East,3079,7.8,h,3,1781000
339,1/04/2017,Jacana,3047,14.0,h,3,575000
340,1/04/2017,Jacana,3047,14.0,h,3,542000
341,1/04/2017,Keilor Downs,3038,15.5,h,3,569000
342,1/04/2017,Keilor East,3033,11.7,h,3,950000
343,1/04/2017,Keilor East,3033,11.7,h,4,850000
345,1/04/2017,Keilor East,3033,11.7,h,3,756000
347,1/04/2017,Keilor East,3033,11.7,u,3,680000
348,1/04/2017,Kensington,3031,3.4,u,1,360000
349,1/04/2017,Kensington,3031,3.4,u,1,325000
350,1/04/2017,Kensington,3031,3.4,h,4,1103000
351,1/04/2017,Kensington,3031,3.4,h,2,901000
353,1/04/2017,Kew,3101,5.4,u,2,653000
356,1/04/2017,Kew,3101,5.4,h,3,2000000
358,1/04/2017,Kew,3101,5.4,h,4,1610000
361,1/04/2017,Kew,3101,5.4,h,4,2315000
362,1/04/2017,Kew,3101,5.4,h,3,1050000
364,1/04/2017,Kew,3101,5.4,h,3,2155000
365,1/04/2017,Kew,3101,5.4,u,3,830000
367,1/04/2017,Kew East,3102,7.3,h,4,1770000
368,1/04/2017,Keysborough,3173,25.2,h,3,600000
374,1/04/2017,Lalor,3075,16.3,h,3,592000
377,1/04/2017,MacLeod,3085,12.7,h,4,1120000
378,1/04/2017,MacLeod,3085,12.7,u,3,710000
379,1/04/2017,MacLeod,3085,12.7,h,3,915000
381,1/04/2017,Malvern,3144,5.9,u,1,360000
382,1/04/2017,Malvern,3144,5.9,h,4,2400000
383,1/04/2017,Malvern,3144,5.9,h,3,1350000
384,1/04/2017,Malvern,3144,5.9,u,1,450000
387,1/04/2017,Malvern East,3145,8.4,h,3,2000000
388,1/04/2017,Malvern East,3145,8.4,t,3,1150000
389,1/04/2017,Maribyrnong,3032,4.3,h,3,813000
390,1/04/2017,Maribyrnong,3032,4.3,u,2,330000
391,1/04/2017,Maribyrnong,3032,4.3,h,5,1425000
392,1/04/2017,McKinnon,3204,11.4,u,3,875000
393,1/04/2017,McKinnon,3204,11.4,h,2,1265000
394,1/04/2017,McKinnon,3204,11.4,h,3,1200000
395,1/04/2017,Meadow Heights,3048,17.4,h,3,520000
396,1/04/2017,Melbourne,3000,0.0,u,2,605000
397,1/04/2017,Melbourne,3000,0.0,u,2,649000
398,1/04/2017,Melbourne,3000,0.0,u,1,440000
399,1/04/2017,Melton,3337,31.7,h,3,431000
400,1/04/2017,Mentone,3194,20.0,h,4,1300000
401,1/04/2017,Mentone,3194,20.0,u,1,337000
403,1/04/2017,Mernda,3754,25.9,h,4,525500
404,1/04/2017,Middle Park,3206,3.0,u,2,800000
405,1/04/2017,Mill Park,3082,17.9,h,3,425000
406,1/04/2017,Mill Park,3082,17.9,h,3,595500
407,1/04/2017,Mill Park,3082,17.9,h,3,660000
409,1/04/2017,Mitcham,3132,17.2,h,3,1300000
410,1/04/2017,Montmorency,3094,16.2,h,3,820000
411,1/04/2017,Montmorency,3094,16.2,h,3,725000
412,1/04/2017,Moonee Ponds,3039,6.2,h,2,1180000
413,1/04/2017,Moonee Ponds,3039,6.2,h,2,910000
414,1/04/2017,Moonee Ponds,3039,6.2,h,3,887500
415,1/04/2017,Moonee Ponds,3039,6.2,h,3,1143000
417,1/04/2017,Moonee Ponds,3039,6.2,h,3,1117500
418,1/04/2017,Moonee Ponds,3039,6.2,h,3,1330000
419,1/04/2017,Moorabbin,3189,14.3,h,2,800000
420,1/04/2017,Moorabbin,3189,14.3,h,5,1410000
421,1/04/2017,Moorabbin,3189,14.3,t,1,457500
422,1/04/2017,Mooroolbark,3138,26.5,h,3,778000
423,1/04/2017,Mordialloc,3195,21.5,t,3,822000
424,1/04/2017,Mordialloc,3195,21.5,h,3,895000
425,1/04/2017,Mordialloc,3195,21.5,h,4,1300000
426,1/04/2017,Mount Waverley,3149,14.2,u,2,568888
427,1/04/2017,Mount Waverley,3149,14.2,h,5,3105000
428,1/04/2017,Mount Waverley,3149,14.2,h,4,1500000
429,1/04/2017,Mount Waverley,3149,14.2,t,3,1030000
433,1/04/2017,Mount Waverley,3149,14.2,h,4,1275000
434,1/04/2017,Mount Waverley,3149,14.2,h,3,1360000
437,1/04/2017,Mount Waverley,3149,14.2,h,4,980000
439,1/04/2017,Mount Waverley,3149,14.2,h,5,1601000
440,1/04/2017,Mount Waverley,3149,14.2,h,4,1780000
441,1/04/2017,Mulgrave,3170,18.8,h,3,630000
442,1/04/2017,Mulgrave,3170,18.8,h,4,925000
443,1/04/2017,Mulgrave,3170,18.8,h,3,868000
444,1/04/2017,Mulgrave,3170,18.8,h,5,880000
445,1/04/2017,Mulgrave,3170,18.8,h,3,920000
446,1/04/2017,Murrumbeena,3163,10.1,h,4,1550000
447,1/04/2017,Murrumbeena,3163,10.1,u,2,720000
448,1/04/2017,Murrumbeena,3163,10.1,u,2,586500
449,1/04/2017,Narre Warren,3805,34.1,h,3,551000
450,1/04/2017,Narre Warren,3805,34.1,h,4,510000
451,1/04/2017,Newport,3015,6.2,h,2,1032000
452,1/04/2017,Newport,3015,6.2,h,3,1270000
453,1/04/2017,Noble Park,3174,22.7,h,4,710000
454,1/04/2017,North Melbourne,3051,1.8,h,6,1815000
455,1/04/2017,North Melbourne,3051,1.8,u,1,420000
456,1/04/2017,Northcote,3070,5.3,h,2,1200000
457,1/04/2017,Northcote,3070,5.3,u,1,345000
459,1/04/2017,Northcote,3070,5.3,t,3,1075000
460,1/04/2017,Northcote,3070,5.3,h,3,1332000
462,1/04/2017,Nunawading,3131,15.4,h,3,685000
463,1/04/2017,Nunawading,3131,15.4,h,3,1185000
464,1/04/2017,Nunawading,3131,15.4,h,3,806000
465,1/04/2017,Oak Park,3046,11.2,h,3,857000
466,1/04/2017,Oak Park,3046,11.2,h,4,945000
467,1/04/2017,Oakleigh,3166,12.3,t,4,986000
468,1/04/2017,Oakleigh South,3167,15.5,h,2,1120000
469,1/04/2017,Oakleigh South,3167,15.5,u,3,710000
470,1/04/2017,Ormond,3204,11.4,u,2,420000
471,1/04/2017,Ormond,3204,11.4,u,2,490000
473,1/04/2017,Ormond,3204,11.4,t,3,1100000
474,1/04/2017,Pakenham,3810,47.3,h,3,378000
475,1/04/2017,Parkdale,3195,21.5,h,3,1260000
476,1/04/2017,Parkdale,3195,21.5,h,3,1200000
477,1/04/2017,Parkdale,3195,21.5,u,2,669000
478,1/04/2017,Parkville,3052,1.8,u,1,668000
479,1/04/2017,Pascoe Vale,3044,8.5,h,4,945000
480,1/04/2017,Pascoe Vale,3044,8.5,t,2,650000
481,1/04/2017,Pascoe Vale,3044,8.5,h,4,1510000
482,1/04/2017,Pascoe Vale,3044,8.5,t,2,522000
483,1/04/2017,Pascoe Vale,3044,8.5,u,3,760000
484,1/04/2017,Pascoe Vale,3044,8.5,h,3,930000
485,1/04/2017,Patterson Lakes,3197,31.2,t,3,645000
487,1/04/2017,Point Cook,3030,14.7,h,3,641000
488,1/04/2017,Point Cook,3030,14.7,h,4,720000
489,1/04/2017,Port Melbourne,3207,3.5,u,2,625000
490,1/04/2017,Port Melbourne,3207,3.5,h,3,1400000
491,1/04/2017,Port Melbourne,3207,3.5,t,4,2090000
492,1/04/2017,Port Melbourne,3207,3.5,u,1,505000
493,1/04/2017,Port Melbourne,3207,3.5,h,3,1650000
494,1/04/2017,Prahran,3181,4.6,u,1,311000
495,1/04/2017,Prahran,3181,4.6,h,2,1325000
497,1/04/2017,Prahran,3181,4.6,u,2,940000
498,1/04/2017,Preston,3072,8.4,t,3,893000
499,1/04/2017,Preston,3072,8.4,u,2,410000
500,1/04/2017,Preston,3072,8.4,t,3,640000
501,1/04/2017,Preston,3072,8.4,h,3,1239500
502,1/04/2017,Preston,3072,8.4,h,2,530000
503,1/04/2017,Reservoir,3073,12.0,h,3,610000
504,1/04/2017,Reservoir,3073,12.0,h,2,710000
506,1/04/2017,Reservoir,3073,12.0,u,1,357500
507,1/04/2017,Reservoir,3073,12.0,u,2,560000
508,1/04/2017,Reservoir,3073,12.0,u,2,390000
510,1/04/2017,Reservoir,3073,12.0,h,3,700000
511,1/04/2017,Reservoir,3073,12.0,h,2,846000
512,1/04/2017,Reservoir,3073,12.0,h,3,500000
513,1/04/2017,Reservoir,3073,12.0,h,5,1100000
515,1/04/2017,Reservoir,3073,12.0,t,2,655000
516,1/04/2017,Reservoir,3073,12.0,h,2,520000
517,1/04/2017,Reservoir,3073,12.0,h,3,850000
519,1/04/2017,Reservoir,3073,12.0,h,3,886500
520,1/04/2017,Richmond,3121,2.4,h,2,1110000
521,1/04/2017,Richmond,3121,2.4,u,2,906000
522,1/04/2017,Richmond,3121,2.4,t,2,1100000
523,1/04/2017,Richmond,3121,2.4,u,2,610000
524,1/04/2017,Richmond,3121,2.4,u,1,550000
525,1/04/2017,Richmond,3121,2.4,u,2,514500
527,1/04/2017,Richmond,3121,2.4,h,3,1619000
528,1/04/2017,Riddells Creek,3431,47.4,h,3,410000
531,1/04/2017,Ringwood,3134,19.9,h,3,739000
532,1/04/2017,Ringwood East,3135,21.3,h,4,901000
533,1/04/2017,Ringwood East,3135,21.3,h,3,700000
534,1/04/2017,Ringwood North,3134,19.9,h,3,805000
539,1/04/2017,Rowville,3178,23.5,h,4,868200
541,1/04/2017,Roxburgh Park,3064,20.6,h,4,462000
542,1/04/2017,Roxburgh Park,3064,20.6,h,4,448000
543,1/04/2017,Roxburgh Park,3064,20.6,h,3,393500
546,1/04/2017,Sandringham,3191,15.2,h,3,1450000
548,1/04/2017,Scoresby,3179,22.2,h,3,821000
549,1/04/2017,Seaford,3198,35.4,h,4,701000
550,1/04/2017,Seddon,3011,5.1,h,3,865500
551,1/04/2017,Seddon,3011,5.1,u,2,362000
553,1/04/2017,South Melbourne,3205,1.9,u,2,651000
554,1/04/2017,South Morang,3752,20.5,h,4,711000
555,1/04/2017,South Morang,3752,20.5,h,4,560000
556,1/04/2017,South Morang,3752,20.5,t,3,387000
558,1/04/2017,South Morang,3752,20.5,h,5,920000
559,1/04/2017,South Morang,3752,20.5,h,4,706000
560,1/04/2017,South Yarra,3141,2.7,h,5,5000000
561,1/04/2017,South Yarra,3141,2.7,u,1,480000
562,1/04/2017,South Yarra,3141,2.7,u,2,495000
564,1/04/2017,South Yarra,3141,2.7,u,2,705000
565,1/04/2017,South Yarra,3141,2.7,u,1,392000
566,1/04/2017,Southbank,3006,0.7,u,2,630000
567,1/04/2017,Spotswood,3015,6.2,t,3,667500
568,1/04/2017,Springvale,3171,20.8,h,3,860000
569,1/04/2017,St Albans,3021,14.0,h,4,860000
570,1/04/2017,St Albans,3021,14.0,h,3,610000
571,1/04/2017,St Albans,3021,14.0,h,3,605000
572,1/04/2017,St Albans,3021,14.0,h,3,645000
574,1/04/2017,St Albans,3021,14.0,h,1,1100000
575,1/04/2017,St Kilda,3182,5.0,u,3,640000
577,1/04/2017,St Kilda,3182,5.0,u,2,501500
578,1/04/2017,Strathmore,3041,8.2,t,3,890000
579,1/04/2017,Strathmore,3041,8.2,h,4,1301000
580,1/04/2017,Strathmore Heights,3041,8.2,h,3,900000
581,1/04/2017,Sunshine,3020,10.5,h,3,890000
583,1/04/2017,Sunshine,3020,10.5,u,2,430000
584,1/04/2017,Sunshine,3020,10.5,h,3,1200000
585,1/04/2017,Sunshine,3020,10.5,h,3,612000
586,1/04/2017,Sunshine North,3020,10.5,h,3,732000
587,1/04/2017,Sunshine North,3020,10.5,h,4,861800
588,1/04/2017,Sunshine West,3020,10.5,t,4,630000
591,1/04/2017,Surrey Hills,3127,10.2,h,5,3250000
593,1/04/2017,Surrey Hills,3127,10.2,h,4,1600000
596,1/04/2017,Sydenham,3037,18.0,h,5,593000
