,Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longtitude
176,Albert Park,3,h,2000000,24/09/2016,3.3,3206,3.0,1.0,1.0,238.0,-37.8461,144.9528
177,Albert Park,1,u,442500,25/02/2017,3.3,3206,1.0,1.0,0.0,0.0,-37.8421,144.9517
178,Albert Park,4,h,4735000,25/02/2017,3.3,3206,4.0,2.0,1.0,330.0,-37.8477,144.9558
179,Albert Park,2,h,1340000,25/02/2017,3.3,3206,2.0,1.0,0.0,136.0,-37.846,144.9517
180,Albert Park,3,h,1801000,25/02/2017,3.3,3206,3.0,1.0,1.0,202.0,-37.8429,144.9493
181,Albert Park,3,h,1532000,26/07/2016,3.3,3206,3.0,3.0,1.0,0.0,-37.8415,144.9585
182,Albert Park,3,h,3755000,26/07/2016,3.3,3206,3.0,2.0,2.0,325.0,-37.8413,144.95
183,Albert Park,4,h,2140000,27/06/2016,3.3,3206,3.0,2.0,1.0,183.0,-37.8434,144.9495
185,Albert Park,2,h,1750000,27/11/2016,3.3,3206,2.0,1.0,1.0,162.0,-37.8416,144.9488
186,Albert Park,2,h,980000,28/05/2016,3.3,3206,2.0,1.0,0.0,79.0,-37.8387,144.9519
190,Albert Park,3,h,2030000,28/08/2016,3.3,3206,3.0,2.0,0.0,152.0,-37.8488,144.9551
191,Albert Park,3,h,1740000,28/08/2016,3.3,3206,3.0,2.0,2.0,147.0,-37.8448,144.9453
192,Albert Park,3,h,2800000,30/07/2016,3.3,3206,3.0,3.0,1.0,0.0,-37.8399,144.9577
193,Albert Park,1,h,985000,30/07/2016,3.3,3206,1.0,1.0,0.0,81.0,-37.8411,144.9497
195,Alphington,4,h,2000000,03/09/2016,6.4,3078,3.0,2.0,4.0,853.0,-37.7707,145.0318
196,Alphington,3,h,1110000,03/09/2016,6.4,3078,3.0,2.0,2.0,208.0,-37.7854,145.0325
197,Alphington,3,h,1492000,04/03/2017,6.4,3078,3.0,2.0,2.0,411.0,-37.7713,145.0279
201,Alphington,4,h,1717500,08/10/2016,6.4,3078,4.0,2.0,1.0,599.0,-37.7717,145.031
202,Alphington,5,h,2840000,12/06/2016,6.4,3078,5.0,4.0,4.0,809.0,-37.775,145.0268
204,Alphington,2,u,525500,12/11/2016,6.4,3078,2.0,1.0,1.0,88.0,-37.7791,145.0306
205,Alphington,2,t,805000,12/11/2016,6.4,3078,2.0,2.0,3.0,155.0,-37.7804,145.0308
206,Alphington,2,u,465000,12/11/2016,6.4,3078,2.0,1.0,1.0,0.0,-37.7773,145.0314
209,Alphington,3,h,2000000,15/10/2016,6.4,3078,3.0,3.0,2.0,686.0,-37.78,145.0341
210,Alphington,3,h,1540000,16/04/2016,6.4,3078,3.0,1.0,2.0,592.0,-37.7755,145.0288
213,Alphington,2,u,820000,18/03/2017,6.4,3078,2.0,1.0,1.0,183.0,-37.7747,145.0264
214,Alphington,4,h,1830000,19/11/2016,6.4,3078,4.0,2.0,2.0,606.0,-37.7743,145.0316
215,Alphington,4,h,2100000,19/11/2016,6.4,3078,4.0,2.0,2.0,575.0,-37.7723,145.0319
216,Alphington,3,h,865000,22/05/2016,6.4,3078,3.0,1.0,1.0,180.0,-37.7802,145.0243
217,Alphington,2,u,390000,22/05/2016,6.4,3078,2.0,1.0,1.0,0.0,-37.7773,145.0314
218,Alphington,2,t,650000,24/09/2016,6.4,3078,0.0,1.0,0.0,0.0,-37.7848,145.025
219,Alphington,2,u,512000,25/02/2017,6.4,3078,2.0,1.0,1.0,0.0,-37.7805,145.0262
224,Alphington,3,h,1165000,27/06/2016,6.4,3078,3.0,1.0,2.0,979.0,-37.7792,145.029
226,Alphington,4,h,1900000,27/11/2016,6.4,3078,4.0,2.0,2.0,556.0,-37.7844,145.0225
228,Alphington,3,h,1485000,28/08/2016,6.4,3078,3.0,0.0,0.0,597.0,-37.7781,145.0284
229,Alphington,4,h,1950000,30/07/2016,6.4,3078,4.0,2.0,3.0,589.0,-37.7719,145.0309
230,Altona,3,h,520000,03/09/2016,13.8,3018,3.0,2.0,1.0,352.0,-37.87,144.825
231,Altona,5,h,1525000,03/12/2016,13.8,3018,5.0,3.0,3.0,729.0,-37.8721,144.8105
232,Altona,2,t,720000,04/02/2016,13.8,3018,2.0,1.0,2.0,292.0,-37.8687,144.8197
233,Altona,3,h,1120000,04/03/2017,13.8,3018,3.0,1.0,2.0,506.0,-37.8693,144.8375
234,Altona,4,h,780000,04/06/2016,13.8,3018,4.0,1.0,4.0,655.0,-37.868,144.8154
235,Altona,4,h,1780000,04/06/2016,13.8,3018,4.0,3.0,6.0,1057.0,-37.8681,144.819
236,Altona,3,u,630000,06/08/2016,13.8,3018,2.0,1.0,2.0,311.0,-37.8702,144.8143
237,Altona,2,u,406000,06/08/2016,13.8,3018,2.0,1.0,1.0,65.0,-37.8693,144.8171
238,Altona,3,h,660000,07/05/2016,13.8,3018,3.0,1.0,1.0,602.0,-37.8616,144.8116
239,Altona,3,h,683500,07/11/2016,13.8,3018,3.0,1.0,1.0,530.0,-37.8594,144.817
241,Altona,2,u,580000,08/10/2016,13.8,3018,2.0,1.0,1.0,225.0,-37.8696,144.827
242,Altona,3,h,1335000,08/10/2016,13.8,3018,3.0,1.0,4.0,777.0,-37.8697,144.8249
243,Altona,3,t,800000,08/10/2016,13.8,3018,3.0,2.0,2.0,280.0,-37.8734,144.8143
244,Altona,2,u,510000,10/09/2016,13.8,3018,2.0,1.0,1.0,127.0,-37.8686,144.8182
245,Altona,4,h,1070000,10/09/2016,13.8,3018,4.0,2.0,2.0,695.0,-37.8733,144.8147
246,Altona,2,u,425000,10/09/2016,13.8,3018,2.0,1.0,2.0,115.0,-37.871,144.8185
247,Altona,3,u,605000,10/12/2016,13.8,3018,3.0,2.0,2.0,230.0,-37.8646,144.827
248,Altona,3,t,705000,11/02/2017,13.8,3018,3.0,2.0,2.0,197.0,-37.8579,144.8181
249,Altona,2,u,391000,11/02/2017,13.8,3018,2.0,1.0,1.0,0.0,-37.8678,144.8384
250,Altona,2,u,440000,11/02/2017,13.8,3018,2.0,1.0,1.0,0.0,-37.8659,144.831
251,Altona,4,h,845000,11/02/2017,13.8,3018,4.0,1.0,2.0,745.0,-37.8658,144.8155
253,Altona,3,t,743000,12/11/2016,13.8,3018,3.0,2.0,2.0,211.0,-37.8698,144.816
255,Altona,3,u,730000,13/08/2016,13.8,3018,3.0,2.0,1.0,69.0,-37.868,144.8286
257,Altona,3,h,635000,14/05/2016,13.8,3018,3.0,1.0,4.0,625.0,-37.8611,144.8114
258,Altona,2,u,620000,14/05/2016,13.8,3018,2.0,1.0,1.0,168.0,-37.8676,144.8202
259,Altona,2,u,447000,15/10/2016,13.8,3018,2.0,1.0,1.0,137.0,-37.8655,144.8299
260,Altona,3,u,730000,16/04/2016,13.8,3018,3.0,2.0,1.0,70.0,-37.868,144.8287
261,Altona,3,h,678000,16/04/2016,13.8,3018,3.0,1.0,2.0,606.0,-37.8608,144.8124
262,Altona,2,u,580000,16/07/2016,13.8,3018,2.0,2.0,1.0,175.0,-37.8687,144.8268
263,Altona,3,h,712000,17/09/2016,13.8,3018,3.0,1.0,2.0,363.0,-37.8674,144.8375
264,Altona,3,h,840000,18/03/2017,13.8,3018,3.0,2.0,2.0,534.0,-37.86,144.8245
265,Altona,3,h,980000,19/11/2016,13.8,3018,3.0,1.0,2.0,724.0,-37.8672,144.817
267,Altona,3,t,605100,22/05/2016,13.8,3018,3.0,2.0,0.0,265.0,-37.8583,144.8172
268,Altona,3,h,880000,22/08/2016,13.8,3018,3.0,3.0,1.0,577.0,-37.8699,144.8235
269,Altona,3,u,577000,23/04/2016,13.8,3018,3.0,2.0,1.0,205.0,-37.8684,144.815
271,Altona,4,h,1030000,25/02/2017,13.8,3018,4.0,1.0,0.0,797.0,-37.8663,144.8387
272,Altona,3,u,605000,25/02/2017,13.8,3018,3.0,1.0,2.0,181.0,-37.8659,144.822
275,Altona,3,h,753000,27/06/2016,13.8,3018,3.0,2.0,2.0,529.0,-37.8612,144.8247
276,Altona,2,h,857000,27/11/2016,13.8,3018,2.0,2.0,1.0,675.0,-37.8653,144.8129
277,Altona,3,h,1500000,28/05/2016,13.8,3018,3.0,1.0,1.0,929.0,-37.8651,144.832
278,Altona,3,u,730000,28/05/2016,13.8,3018,3.0,2.0,1.0,70.0,-37.868,144.8285
279,Altona,3,h,900000,28/05/2016,13.8,3018,3.0,1.0,4.0,697.0,-37.871,144.8075
280,Altona,3,h,740000,28/08/2016,13.8,3018,3.0,1.0,2.0,604.0,-37.8631,144.8195
281,Altona,4,h,931000,28/08/2016,13.8,3018,4.0,2.0,3.0,532.0,-37.8637,144.8365
282,Altona,2,h,535600,30/07/2016,13.8,3018,2.0,1.0,1.0,154.0,-37.8646,144.8272
284,Altona North,5,h,1085000,03/09/2016,11.1,3025,5.0,3.0,6.0,592.0,-37.8388,144.8567
285,Altona North,3,h,781000,03/09/2016,11.1,3025,3.0,1.0,2.0,533.0,-37.8291,144.835
288,Altona North,3,h,750000,04/03/2017,11.1,3025,3.0,1.0,3.0,554.0,-37.8449,144.85
289,Altona North,2,t,421000,04/03/2017,11.1,3025,2.0,1.0,1.0,77.0,-37.8351,144.8529
290,Altona North,3,h,1405000,04/03/2017,11.1,3025,3.0,1.0,3.0,655.0,-37.8338,144.8562
292,Altona North,3,h,683000,04/06/2016,11.1,3025,3.0,1.0,2.0,534.0,-37.8284,144.8355
294,Altona North,3,h,623000,04/06/2016,11.1,3025,3.0,1.0,3.0,540.0,-37.8267,144.8368
295,Altona North,3,h,720000,06/08/2016,11.1,3025,3.0,2.0,1.0,0.0,-37.8379,144.8583
299,Altona North,3,h,588000,07/05/2016,11.1,3025,3.0,1.0,1.0,328.0,-37.838,144.8555
301,Altona North,3,h,710000,07/11/2016,11.1,3025,3.0,1.0,3.0,540.0,-37.8294,144.8378
306,Altona North,4,h,875000,08/10/2016,11.1,3025,3.0,1.0,4.0,559.0,-37.8448,144.8529
310,Altona North,3,h,700000,10/12/2016,11.1,3025,3.0,1.0,3.0,554.0,-37.8449,144.85
313,Altona North,2,t,640000,11/03/2017,11.1,3025,2.0,1.0,1.0,252.0,-37.8397,144.8602
314,Altona North,4,h,650000,12/06/2016,11.1,3025,4.0,1.0,4.0,558.0,-37.8451,144.8529
321,Altona North,3,h,675000,14/05/2016,11.1,3025,3.0,2.0,2.0,171.0,-37.8337,144.8554
322,Altona North,3,h,708000,15/10/2016,11.1,3025,3.0,1.0,2.0,585.0,-37.8258,144.8523
325,Altona North,4,h,965000,15/10/2016,11.1,3025,4.0,1.0,4.0,851.0,-37.8345,144.8444
334,Altona North,3,h,680000,19/11/2016,11.1,3025,3.0,1.0,3.0,551.0,-37.8254,144.8514
337,Altona North,3,h,770000,19/11/2016,11.1,3025,3.0,1.0,3.0,602.0,-37.8327,144.8451
338,Altona North,3,h,923000,22/05/2016,11.1,3025,3.0,1.0,2.0,740.0,-37.8269,144.8455
339,Altona North,4,h,693000,22/05/2016,11.1,3025,4.0,2.0,4.0,315.0,-37.8391,144.8467
340,Altona North,3,h,620000,22/08/2016,11.1,3025,5.0,2.0,2.0,276.0,-37.8262,144.8443
342,Altona North,3,h,728500,22/08/2016,11.1,3025,3.0,1.0,1.0,531.0,-37.8277,144.8385
343,Altona North,3,h,931000,22/08/2016,11.1,3025,3.0,2.0,1.0,590.0,-37.8382,144.8649
344,Altona North,3,h,988000,22/08/2016,11.1,3025,3.0,1.0,4.0,715.0,-37.8423,144.8632
346,Altona North,3,h,590000,23/04/2016,11.1,3025,3.0,1.0,2.0,561.0,-37.8444,144.8491
347,Altona North,2,h,610000,24/09/2016,11.1,3025,2.0,1.0,2.0,691.0,-37.834,144.8553
349,Altona North,3,h,815000,25/02/2017,11.1,3025,3.0,2.0,3.0,555.0,-37.8318,144.8388
350,Altona North,4,h,970000,25/02/2017,11.1,3025,4.0,1.0,2.0,708.0,-37.833,144.8494
353,Altona North,4,h,760000,27/06/2016,11.1,3025,4.0,1.0,3.0,668.0,-37.8262,144.8439
355,Altona North,4,t,847500,27/06/2016,11.1,3025,4.0,3.0,1.0,252.0,-37.8393,144.8568
356,Altona North,4,h,1200000,27/11/2016,11.1,3025,4.0,1.0,4.0,633.0,-37.8375,144.8541
359,Altona North,3,h,700000,27/11/2016,11.1,3025,3.0,1.0,1.0,557.0,-37.8441,144.8505
360,Altona North,3,h,625000,28/05/2016,11.1,3025,3.0,1.0,1.0,536.0,-37.8285,144.8351
361,Altona North,2,u,292000,28/08/2016,11.1,3025,2.0,1.0,1.0,153.0,-37.8332,144.8649
365,Armadale,2,u,599000,03/09/2016,6.3,3143,2.0,1.0,1.0,0.0,-37.8543,145.0262
366,Armadale,2,u,550000,03/12/2016,6.3,3143,2.0,1.0,0.0,861.0,-37.8539,145.0284
367,Armadale,3,u,995000,03/12/2016,6.3,3143,3.0,2.0,2.0,0.0,-37.8552,145.016
368,Armadale,3,t,1205000,03/12/2016,6.3,3143,3.0,2.0,2.0,101.0,-37.854,145.0135
371,Armadale,3,h,1939000,03/12/2016,6.3,3143,3.0,2.0,2.0,296.0,-37.8614,145.0274
372,Armadale,1,u,421500,03/12/2016,6.3,3143,1.0,1.0,0.0,0.0,-37.853,145.0167
375,Armadale,3,h,1870000,04/03/2017,6.3,3143,3.0,1.0,1.0,217.0,-37.8592,145.0182
377,Armadale,2,u,678000,04/03/2017,6.3,3143,2.0,1.0,2.0,0.0,-37.8538,145.0127
380,Armadale,3,t,1918000,04/03/2017,6.3,3143,3.0,2.0,2.0,0.0,-37.8537,145.0267
382,Armadale,2,u,660000,04/03/2017,6.3,3143,2.0,1.0,1.0,0.0,-37.8619,145.0257
383,Armadale,3,h,2050000,04/03/2017,6.3,3143,3.0,2.0,1.0,205.0,-37.8574,145.0281
386,Armadale,2,u,700000,04/06/2016,6.3,3143,2.0,1.0,2.0,0.0,-37.8552,145.016
387,Armadale,2,u,3625000,04/06/2016,6.3,3143,3.0,2.0,2.0,0.0,-37.8555,145.0291
388,Armadale,4,h,3000000,04/06/2016,6.3,3143,4.0,2.0,2.0,1581.0,-37.858,145.0111
390,Armadale,5,h,1525000,07/05/2016,6.3,3143,8.0,2.0,2.0,693.0,-37.8638,145.0229
392,Armadale,3,u,735000,07/05/2016,6.3,3143,3.0,2.0,1.0,2113.0,-37.8543,145.0262
393,Armadale,2,u,825000,07/05/2016,6.3,3143,2.0,1.0,1.0,0.0,-37.8528,145.0268
394,Armadale,3,t,1586000,07/05/2016,6.3,3143,2.0,2.0,2.0,246.0,-37.8566,145.0116
399,Armadale,2,u,645000,08/10/2016,6.3,3143,3.0,1.0,1.0,0.0,-37.8596,145.0198
400,Armadale,1,h,1435000,08/10/2016,6.3,3143,2.0,2.0,1.0,144.0,-37.8564,145.0228
402,Armadale,1,u,280000,10/09/2016,6.3,3143,1.0,1.0,1.0,0.0,-37.8619,145.0185
403,Armadale,1,u,400000,10/12/2016,6.3,3143,1.0,1.0,1.0,0.0,-37.8605,145.0185
405,Armadale,2,h,1780000,10/12/2016,6.3,3143,2.0,2.0,2.0,0.0,-37.8537,145.0267
407,Armadale,2,u,592500,10/12/2016,6.3,3143,2.0,1.0,1.0,0.0,-37.8574,145.0174
409,Armadale,2,h,1210000,12/11/2016,6.3,3143,2.0,1.0,0.0,249.0,-37.8543,145.016
410,Armadale,4,h,2801000,12/11/2016,6.3,3143,4.0,2.0,2.0,624.0,-37.8536,145.0173
414,Armadale,1,u,390000,14/05/2016,6.3,3143,1.0,1.0,0.0,881.0,-37.8614,145.0222
416,Armadale,3,h,1800000,15/10/2016,6.3,3143,3.0,2.0,2.0,405.0,-37.8545,145.0145
418,Armadale,4,h,2200000,15/10/2016,6.3,3143,4.0,1.0,2.0,495.0,-37.8613,145.0264
