,Date,Suburb,Postcode,Latitude,Longtitude,Distance,Type,Rooms,Bedroom,Bathroom,Car,Landsize,Price
55,25/02/2017,Abbotsford,3067,-37.805,144.9943,2.5,h,3,3,2,2,147,1290000
56,25/02/2017,Abbotsford,3067,-37.8007,144.9958,2.5,h,3,3,1,1,168,1290000
57,26/07/2016,Abbotsford,3067,-37.8055,144.9961,2.5,u,1,1,1,1,0,470000
58,27/11/2016,Abbotsford,3067,-37.8016,144.9956,2.5,h,2,2,1,0,162,1180000
59,27/11/2016,Abbotsford,3067,-37.8022,144.9954,2.5,h,3,3,2,1,120,1195000
61,28/05/2016,Abbotsford,3067,-37.8021,144.9976,2.5,h,2,2,1,0,182,1012500
63,30/07/2016,Abbotsford,3067,-37.8086,144.9946,2.5,h,2,2,1,1,172,1030000
66,3/09/2016,Airport West,3042,-37.718,144.878,13.5,t,3,3,2,1,303,840000
67,3/12/2016,Airport West,3042,-37.7203,144.8755,13.5,h,3,3,2,1,0,730000
68,4/03/2017,Airport West,3042,-37.7203,144.8755,13.5,h,3,3,2,1,0,770000
70,4/03/2017,Airport West,3042,-37.7294,144.888,13.5,h,2,2,1,1,272,603000
71,4/03/2017,Airport West,3042,-37.7218,144.8837,13.5,t,3,3,2,2,239,700000
72,4/03/2017,Airport West,3042,-37.7273,144.8744,13.5,h,3,2,1,1,290,600000
73,4/03/2017,Airport West,3042,-37.7215,144.8864,13.5,u,2,2,1,1,168,500000
79,6/08/2016,Airport West,3042,-37.7173,144.8872,13.5,h,3,2,1,1,620,720000
80,6/08/2016,Airport West,3042,-37.7259,144.8792,13.5,h,4,3,1,2,597,785000
81,7/05/2016,Airport West,3042,-37.7239,144.8735,13.5,h,6,6,3,2,976,725000
82,7/05/2016,Airport West,3042,-37.7216,144.871,13.5,t,2,2,1,1,110,450000
83,7/11/2016,Airport West,3042,-37.7298,144.8883,13.5,u,2,2,1,1,141,515000
85,10/09/2016,Airport West,3042,-37.7234,144.8792,13.5,u,2,2,1,1,120,530000
86,10/09/2016,Airport West,3042,-37.7249,144.8728,13.5,h,3,3,1,6,1063,895000
88,10/12/2016,Airport West,3042,-37.7217,144.8783,13.5,h,3,3,1,1,0,805000
90,11/02/2017,Airport West,3042,-37.7302,144.8855,13.5,u,3,3,1,1,265,752000
94,13/08/2016,Airport West,3042,-37.7177,144.8787,13.5,u,2,2,1,1,192,440000
96,14/05/2016,Airport West,3042,-37.7248,144.8699,13.5,h,5,3,2,2,596,755000
98,15/10/2016,Airport West,3042,-37.727,144.887,13.5,t,3,3,2,2,165,700000
100,16/04/2016,Airport West,3042,-37.7186,144.876,13.5,h,3,3,1,2,971,830000
101,16/07/2016,Airport West,3042,-37.7218,144.8863,13.5,u,2,2,1,1,164,462500
102,16/07/2016,Airport West,3042,-37.7269,144.8742,13.5,h,3,3,2,2,657,670000
103,16/07/2016,Airport West,3042,-37.7187,144.8765,13.5,h,2,2,1,1,612,675000
104,16/07/2016,Airport West,3042,-37.7173,144.8796,13.5,h,3,3,2,5,612,1042000
105,17/09/2016,Airport West,3042,-37.7231,144.8835,13.5,h,3,3,1,1,775,910000
106,17/09/2016,Airport West,3042,-37.7263,144.8679,13.5,h,4,5,3,4,531,773000
108,18/03/2017,Airport West,3042,-37.7285,144.8694,13.5,h,3,3,3,2,555,810000
109,18/03/2017,Airport West,3042,-37.7164,144.8792,13.5,h,3,3,2,2,422,715000
110,18/03/2017,Airport West,3042,-37.7194,144.8827,13.5,h,3,3,1,3,614,790000
112,18/06/2016,Airport West,3042,-37.7231,144.8802,13.5,t,3,2,2,1,161,540000
113,19/11/2016,Airport West,3042,-37.72,144.8776,13.5,t,3,3,2,1,293,825000
114,22/05/2016,Airport West,3042,-37.7226,144.8733,13.5,h,3,3,1,1,579,685000
116,22/08/2016,Airport West,3042,-37.7184,144.882,13.5,h,3,3,1,1,623,805000
117,22/08/2016,Airport West,3042,-37.7202,144.8797,13.5,u,2,2,1,1,141,510000
118,22/08/2016,Airport West,3042,-37.7181,144.8824,13.5,h,3,3,2,1,212,612000
119,23/04/2016,Airport West,3042,-37.7169,144.8815,13.5,h,3,3,1,2,612,662000
120,24/09/2016,Airport West,3042,-37.7263,144.869,13.5,h,4,4,3,2,532,978000
122,25/02/2017,Airport West,3042,-37.72,144.878,13.5,h,3,3,1,1,585,720000
128,27/11/2016,Airport West,3042,-37.7261,144.8785,13.5,h,4,4,1,2,509,765000
129,27/11/2016,Airport West,3042,-37.7256,144.8739,13.5,h,4,4,2,3,628,900000
133,3/09/2016,Albert Park,3206,-37.8459,144.9555,3.3,h,2,2,1,0,120,1275000
134,3/09/2016,Albert Park,3206,-37.845,144.9538,3.3,h,2,2,1,0,159,1455000
135,4/03/2017,Albert Park,3206,-37.8481,144.9499,3.3,h,3,3,2,0,211,2850000
136,4/03/2017,Albert Park,3206,-37.8452,144.9488,3.3,h,3,3,2,0,128,1850000
138,4/03/2017,Albert Park,3206,-37.8431,144.9565,3.3,h,2,2,1,0,130,1436000
140,6/08/2016,Albert Park,3206,-37.8444,144.9484,3.3,h,2,1,1,0,147,1110000
141,7/05/2016,Albert Park,3206,-37.8405,144.9521,3.3,h,2,2,1,1,167,1550000
142,7/05/2016,Albert Park,3206,-37.8447,144.9523,3.3,h,4,4,2,1,153,2300000
144,7/11/2016,Albert Park,3206,-37.8443,144.9598,3.3,t,3,3,2,2,718,1550000
145,7/11/2016,Albert Park,3206,-37.8415,144.952,3.3,h,3,3,2,1,132,1800000
147,10/09/2016,Albert Park,3206,-37.8422,144.9554,3.3,h,2,2,1,1,199,2120000
148,10/09/2016,Albert Park,3206,-37.8443,144.9579,3.3,h,3,3,1,1,253,1800000
149,10/09/2016,Albert Park,3206,-37.8421,144.9571,3.3,h,3,3,2,1,90,1800000
151,10/12/2016,Albert Park,3206,-37.8379,144.9539,3.3,h,2,2,1,0,240,1810000
152,10/12/2016,Albert Park,3206,-37.8415,144.9585,3.3,h,3,3,2,1,177,2615000
153,10/12/2016,Albert Park,3206,-37.8436,144.9557,3.3,h,5,5,2,1,237,2100000
154,10/12/2016,Albert Park,3206,-37.8422,144.949,3.3,h,3,3,1,0,129,1300000
155,12/06/2016,Albert Park,3206,-37.8451,144.9511,3.3,h,3,3,2,2,0,1370000
156,12/11/2016,Albert Park,3206,-37.8407,144.9523,3.3,h,2,2,1,0,288,1000000
158,15/10/2016,Albert Park,3206,-37.8445,144.9501,3.3,h,3,3,2,1,228,2575000
159,15/10/2016,Albert Park,3206,-37.8443,144.9481,3.3,h,2,2,1,0,149,1322500
161,15/10/2016,Albert Park,3206,-37.8424,144.9562,3.3,h,2,2,1,0,141,1562500
162,16/04/2016,Albert Park,3206,-37.847,144.9575,3.3,h,3,3,2,1,211,2000000
165,18/03/2017,Albert Park,3206,-37.8468,144.9546,3.3,h,3,3,1,0,209,1900000
166,18/03/2017,Albert Park,3206,-37.8473,144.9551,3.3,h,3,3,2,0,147,3010000
168,18/06/2016,Albert Park,3206,-37.8467,144.9475,3.3,h,4,4,3,1,327,2800000
170,22/05/2016,Albert Park,3206,-37.846,144.9542,3.3,u,2,2,1,1,0,647000
172,23/04/2016,Albert Park,3206,-37.8427,144.9546,3.3,h,3,2,1,1,120,2100000
176,24/09/2016,Albert Park,3206,-37.8461,144.9528,3.3,h,3,3,1,1,238,2000000
177,25/02/2017,Albert Park,3206,-37.8421,144.9517,3.3,u,1,1,1,0,0,442500
178,25/02/2017,Albert Park,3206,-37.8477,144.9558,3.3,h,4,4,2,1,330,4735000
179,25/02/2017,Albert Park,3206,-37.846,144.9517,3.3,h,2,2,1,0,136,1340000
180,25/02/2017,Albert Park,3206,-37.8429,144.9493,3.3,h,3,3,1,1,202,1801000
181,26/07/2016,Albert Park,3206,-37.8415,144.9585,3.3,h,3,3,3,1,0,1532000
182,26/07/2016,Albert Park,3206,-37.8413,144.95,3.3,h,3,3,2,2,325,3755000
183,27/06/2016,Albert Park,3206,-37.8434,144.9495,3.3,h,4,3,2,1,183,2140000
185,27/11/2016,Albert Park,3206,-37.8416,144.9488,3.3,h,2,2,1,1,162,1750000
186,28/05/2016,Albert Park,3206,-37.8387,144.9519,3.3,h,2,2,1,0,79,980000
190,28/08/2016,Albert Park,3206,-37.8488,144.9551,3.3,h,3,3,2,0,152,2030000
191,28/08/2016,Albert Park,3206,-37.8448,144.9453,3.3,h,3,3,2,2,147,1740000
192,30/07/2016,Albert Park,3206,-37.8399,144.9577,3.3,h,3,3,3,1,0,2800000
193,30/07/2016,Albert Park,3206,-37.8411,144.9497,3.3,h,1,1,1,0,81,985000
195,3/09/2016,Alphington,3078,-37.7707,145.0318,6.4,h,4,3,2,4,853,2000000
196,3/09/2016,Alphington,3078,-37.7854,145.0325,6.4,h,3,3,2,2,208,1110000
197,4/03/2017,Alphington,3078,-37.7713,145.0279,6.4,h,3,3,2,2,411,1492000
201,8/10/2016,Alphington,3078,-37.7717,145.031,6.4,h,4,4,2,1,599,1717500
202,12/06/2016,Alphington,3078,-37.775,145.0268,6.4,h,5,5,4,4,809,2840000
204,12/11/2016,Alphington,3078,-37.7791,145.0306,6.4,u,2,2,1,1,88,525500
205,12/11/2016,Alphington,3078,-37.7804,145.0308,6.4,t,2,2,2,3,155,805000
206,12/11/2016,Alphington,3078,-37.7773,145.0314,6.4,u,2,2,1,1,0,465000
209,15/10/2016,Alphington,3078,-37.78,145.0341,6.4,h,3,3,3,2,686,2000000
210,16/04/2016,Alphington,3078,-37.7755,145.0288,6.4,h,3,3,1,2,592,1540000
213,18/03/2017,Alphington,3078,-37.7747,145.0264,6.4,u,2,2,1,1,183,820000
214,19/11/2016,Alphington,3078,-37.7743,145.0316,6.4,h,4,4,2,2,606,1830000
215,19/11/2016,Alphington,3078,-37.7723,145.0319,6.4,h,4,4,2,2,575,2100000
216,22/05/2016,Alphington,3078,-37.7802,145.0243,6.4,h,3,3,1,1,180,865000
217,22/05/2016,Alphington,3078,-37.7773,145.0314,6.4,u,2,2,1,1,0,390000
218,24/09/2016,Alphington,3078,-37.7848,145.025,6.4,t,2,0,1,0,0,650000
219,25/02/2017,Alphington,3078,-37.7805,145.0262,6.4,u,2,2,1,1,0,512000
224,27/06/2016,Alphington,3078,-37.7792,145.029,6.4,h,3,3,1,2,979,1165000
226,27/11/2016,Alphington,3078,-37.7844,145.0225,6.4,h,4,4,2,2,556,1900000
228,28/08/2016,Alphington,3078,-37.7781,145.0284,6.4,h,3,3,0,0,597,1485000
229,30/07/2016,Alphington,3078,-37.7719,145.0309,6.4,h,4,4,2,3,589,1950000
230,3/09/2016,Altona,3018,-37.87,144.825,13.8,h,3,3,2,1,352,520000
231,3/12/2016,Altona,3018,-37.8721,144.8105,13.8,h,5,5,3,3,729,1525000
232,4/02/2016,Altona,3018,-37.8687,144.8197,13.8,t,2,2,1,2,292,720000
233,4/03/2017,Altona,3018,-37.8693,144.8375,13.8,h,3,3,1,2,506,1120000
234,4/06/2016,Altona,3018,-37.868,144.8154,13.8,h,4,4,1,4,655,780000
235,4/06/2016,Altona,3018,-37.8681,144.819,13.8,h,4,4,3,6,1057,1780000
236,6/08/2016,Altona,3018,-37.8702,144.8143,13.8,u,3,2,1,2,311,630000
237,6/08/2016,Altona,3018,-37.8693,144.8171,13.8,u,2,2,1,1,65,406000
238,7/05/2016,Altona,3018,-37.8616,144.8116,13.8,h,3,3,1,1,602,660000
239,7/11/2016,Altona,3018,-37.8594,144.817,13.8,h,3,3,1,1,530,683500
241,8/10/2016,Altona,3018,-37.8696,144.827,13.8,u,2,2,1,1,225,580000
242,8/10/2016,Altona,3018,-37.8697,144.8249,13.8,h,3,3,1,4,777,1335000
243,8/10/2016,Altona,3018,-37.8734,144.8143,13.8,t,3,3,2,2,280,800000
244,10/09/2016,Altona,3018,-37.8686,144.8182,13.8,u,2,2,1,1,127,510000
245,10/09/2016,Altona,3018,-37.8733,144.8147,13.8,h,4,4,2,2,695,1070000
246,10/09/2016,Altona,3018,-37.871,144.8185,13.8,u,2,2,1,2,115,425000
247,10/12/2016,Altona,3018,-37.8646,144.827,13.8,u,3,3,2,2,230,605000
248,11/02/2017,Altona,3018,-37.8579,144.8181,13.8,t,3,3,2,2,197,705000
249,11/02/2017,Altona,3018,-37.8678,144.8384,13.8,u,2,2,1,1,0,391000
250,11/02/2017,Altona,3018,-37.8659,144.831,13.8,u,2,2,1,1,0,440000
251,11/02/2017,Altona,3018,-37.8658,144.8155,13.8,h,4,4,1,2,745,845000
253,12/11/2016,Altona,3018,-37.8698,144.816,13.8,t,3,3,2,2,211,743000
255,13/08/2016,Altona,3018,-37.868,144.8286,13.8,u,3,3,2,1,69,730000
257,14/05/2016,Altona,3018,-37.8611,144.8114,13.8,h,3,3,1,4,625,635000
258,14/05/2016,Altona,3018,-37.8676,144.8202,13.8,u,2,2,1,1,168,620000
259,15/10/2016,Altona,3018,-37.8655,144.8299,13.8,u,2,2,1,1,137,447000
260,16/04/2016,Altona,3018,-37.868,144.8287,13.8,u,3,3,2,1,70,730000
261,16/04/2016,Altona,3018,-37.8608,144.8124,13.8,h,3,3,1,2,606,678000
262,16/07/2016,Altona,3018,-37.8687,144.8268,13.8,u,2,2,2,1,175,580000
263,17/09/2016,Altona,3018,-37.8674,144.8375,13.8,h,3,3,1,2,363,712000
264,18/03/2017,Altona,3018,-37.86,144.8245,13.8,h,3,3,2,2,534,840000
265,19/11/2016,Altona,3018,-37.8672,144.817,13.8,h,3,3,1,2,724,980000
267,22/05/2016,Altona,3018,-37.8583,144.8172,13.8,t,3,3,2,0,265,605100
268,22/08/2016,Altona,3018,-37.8699,144.8235,13.8,h,3,3,3,1,577,880000
269,23/04/2016,Altona,3018,-37.8684,144.815,13.8,u,3,3,2,1,205,577000
271,25/02/2017,Altona,3018,-37.8663,144.8387,13.8,h,4,4,1,0,797,1030000
272,25/02/2017,Altona,3018,-37.8659,144.822,13.8,u,3,3,1,2,181,605000
275,27/06/2016,Altona,3018,-37.8612,144.8247,13.8,h,3,3,2,2,529,753000
276,27/11/2016,Altona,3018,-37.8653,144.8129,13.8,h,2,2,2,1,675,857000
277,28/05/2016,Altona,3018,-37.8651,144.832,13.8,h,3,3,1,1,929,1500000
278,28/05/2016,Altona,3018,-37.868,144.8285,13.8,u,3,3,2,1,70,730000
279,28/05/2016,Altona,3018,-37.871,144.8075,13.8,h,3,3,1,4,697,900000
280,28/08/2016,Altona,3018,-37.8631,144.8195,13.8,h,3,3,1,2,604,740000
281,28/08/2016,Altona,3018,-37.8637,144.8365,13.8,h,4,4,2,3,532,931000
282,30/07/2016,Altona,3018,-37.8646,144.8272,13.8,h,2,2,1,1,154,535600
284,3/09/2016,Altona North,3025,-37.8388,144.8567,11.1,h,5,5,3,6,592,1085000
285,3/09/2016,Altona North,3025,-37.8291,144.835,11.1,h,3,3,1,2,533,781000
288,4/03/2017,Altona North,3025,-37.8449,144.85,11.1,h,3,3,1,3,554,750000
289,4/03/2017,Altona North,3025,-37.8351,144.8529,11.1,t,2,2,1,1,77,421000
290,4/03/2017,Altona North,3025,-37.8338,144.8562,11.1,h,3,3,1,3,655,1405000
292,4/06/2016,Altona North,3025,-37.8284,144.8355,11.1,h,3,3,1,2,534,683000
294,4/06/2016,Altona North,3025,-37.8267,144.8368,11.1,h,3,3,1,3,540,623000
295,6/08/2016,Altona North,3025,-37.8379,144.8583,11.1,h,3,3,2,1,0,720000
299,7/05/2016,Altona North,3025,-37.838,144.8555,11.1,h,3,3,1,1,328,588000
301,7/11/2016,Altona North,3025,-37.8294,144.8378,11.1,h,3,3,1,3,540,710000
306,8/10/2016,Altona North,3025,-37.8448,144.8529,11.1,h,4,3,1,4,559,875000
310,10/12/2016,Altona North,3025,-37.8449,144.85,11.1,h,3,3,1,3,554,700000
313,11/03/2017,Altona North,3025,-37.8397,144.8602,11.1,t,2,2,1,1,252,640000
314,12/06/2016,Altona North,3025,-37.8451,144.8529,11.1,h,4,4,1,4,558,650000
321,14/05/2016,Altona North,3025,-37.8337,144.8554,11.1,h,3,3,2,2,171,675000
322,15/10/2016,Altona North,3025,-37.8258,144.8523,11.1,h,3,3,1,2,585,708000
325,15/10/2016,Altona North,3025,-37.8345,144.8444,11.1,h,4,4,1,4,851,965000
334,19/11/2016,Altona North,3025,-37.8254,144.8514,11.1,h,3,3,1,3,551,680000
337,19/11/2016,Altona North,3025,-37.8327,144.8451,11.1,h,3,3,1,3,602,770000
338,22/05/2016,Altona North,3025,-37.8269,144.8455,11.1,h,3,3,1,2,740,923000
339,22/05/2016,Altona North,3025,-37.8391,144.8467,11.1,h,4,4,2,4,315,693000
340,22/08/2016,Altona North,3025,-37.8262,144.8443,11.1,h,3,5,2,2,276,620000
342,22/08/2016,Altona North,3025,-37.8277,144.8385,11.1,h,3,3,1,1,531,728500
343,22/08/2016,Altona North,3025,-37.8382,144.8649,11.1,h,3,3,2,1,590,931000
344,22/08/2016,Altona North,3025,-37.8423,144.8632,11.1,h,3,3,1,4,715,988000
346,23/04/2016,Altona North,3025,-37.8444,144.8491,11.1,h,3,3,1,2,561,590000
347,24/09/2016,Altona North,3025,-37.834,144.8553,11.1,h,2,2,1,2,691,610000
349,25/02/2017,Altona North,3025,-37.8318,144.8388,11.1,h,3,3,2,3,555,815000
350,25/02/2017,Altona North,3025,-37.833,144.8494,11.1,h,4,4,1,2,708,970000
353,27/06/2016,Altona North,3025,-37.8262,144.8439,11.1,h,4,4,1,3,668,760000
355,27/06/2016,Altona North,3025,-37.8393,144.8568,11.1,t,4,4,3,1,252,847500
356,27/11/2016,Altona North,3025,-37.8375,144.8541,11.1,h,4,4,1,4,633,1200000
359,27/11/2016,Altona North,3025,-37.8441,144.8505,11.1,h,3,3,1,1,557,700000
360,28/05/2016,Altona North,3025,-37.8285,144.8351,11.1,h,3,3,1,1,536,625000
361,28/08/2016,Altona North,3025,-37.8332,144.8649,11.1,u,2,2,1,1,153,292000
365,3/09/2016,Armadale,3143,-37.8543,145.0262,6.3,u,2,2,1,1,0,599000
366,3/12/2016,Armadale,3143,-37.8539,145.0284,6.3,u,2,2,1,0,861,550000
367,3/12/2016,Armadale,3143,-37.8552,145.016,6.3,u,3,3,2,2,0,995000
368,3/12/2016,Armadale,3143,-37.854,145.0135,6.3,t,3,3,2,2,101,1205000
371,3/12/2016,Armadale,3143,-37.8614,145.0274,6.3,h,3,3,2,2,296,1939000
372,3/12/2016,Armadale,3143,-37.853,145.0167,6.3,u,1,1,1,0,0,421500
375,4/03/2017,Armadale,3143,-37.8592,145.0182,6.3,h,3,3,1,1,217,1870000
377,4/03/2017,Armadale,3143,-37.8538,145.0127,6.3,u,2,2,1,2,0,678000
380,4/03/2017,Armadale,3143,-37.8537,145.0267,6.3,t,3,3,2,2,0,1918000
382,4/03/2017,Armadale,3143,-37.8619,145.0257,6.3,u,2,2,1,1,0,660000
383,4/03/2017,Armadale,3143,-37.8574,145.0281,6.3,h,3,3,2,1,205,2050000
386,4/06/2016,Armadale,3143,-37.8552,145.016,6.3,u,2,2,1,2,0,700000
387,4/06/2016,Armadale,3143,-37.8555,145.0291,6.3,u,2,3,2,2,0,3625000
388,4/06/2016,Armadale,3143,-37.858,145.0111,6.3,h,4,4,2,2,1581,3000000
390,7/05/2016,Armadale,3143,-37.8638,145.0229,6.3,h,5,8,2,2,693,1525000
392,7/05/2016,Armadale,3143,-37.8543,145.0262,6.3,u,3,3,2,1,2113,735000
393,7/05/2016,Armadale,3143,-37.8528,145.0268,6.3,u,2,2,1,1,0,825000
394,7/05/2016,Armadale,3143,-37.8566,145.0116,6.3,t,3,2,2,2,246,1586000
399,8/10/2016,Armadale,3143,-37.8596,145.0198,6.3,u,2,3,1,1,0,645000
400,8/10/2016,Armadale,3143,-37.8564,145.0228,6.3,h,1,2,2,1,144,1435000
402,10/09/2016,Armadale,3143,-37.8619,145.0185,6.3,u,1,1,1,1,0,280000
403,10/12/2016,Armadale,3143,-37.8605,145.0185,6.3,u,1,1,1,1,0,400000
405,10/12/2016,Armadale,3143,-37.8537,145.0267,6.3,h,2,2,2,2,0,1780000
407,10/12/2016,Armadale,3143,-37.8574,145.0174,6.3,u,2,2,1,1,0,592500
409,12/11/2016,Armadale,3143,-37.8543,145.016,6.3,h,2,2,1,0,249,1210000
410,12/11/2016,Armadale,3143,-37.8536,145.0173,6.3,h,4,4,2,2,624,2801000
414,14/05/2016,Armadale,3143,-37.8614,145.0222,6.3,u,1,1,1,0,881,390000
416,15/10/2016,Armadale,3143,-37.8545,145.0145,6.3,h,3,3,2,2,405,1800000
418,15/10/2016,Armadale,3143,-37.8613,145.0264,6.3,h,4,4,1,2,495,2200000
420,16/04/2016,Armadale,3143,-37.8537,145.0114,6.3,u,1,1,1,1,0,324000
426,17/09/2016,Armadale,3143,-37.8602,145.013,6.3,h,6,5,3,4,1491,5525000
428,17/09/2016,Armadale,3143,-37.851,145.0161,6.3,h,2,3,1,2,169,1125000
429,17/09/2016,Armadale,3143,-37.8511,145.0167,6.3,h,3,3,3,1,301,2250000
430,18/03/2017,Armadale,3143,-37.8558,145.015,6.3,h,3,3,2,0,336,2360000
431,18/03/2017,Armadale,3143,-37.8571,145.0224,6.3,h,2,2,2,0,207,1900000
432,18/03/2017,Armadale,3143,-37.8531,145.0115,6.3,u,1,1,1,1,0,440000
435,18/06/2016,Armadale,3143,-37.8646,145.0247,6.3,u,2,2,1,1,0,490000
437,18/06/2016,Armadale,3143,-37.8521,145.019,6.3,h,3,3,2,1,316,2365000
438,18/06/2016,Armadale,3143,-37.8542,145.0149,6.3,h,3,2,1,2,212,1300000
440,18/06/2016,Armadale,3143,-37.8597,145.0104,6.3,u,3,3,2,2,0,732000
441,19/11/2016,Armadale,3143,-37.8573,145.0186,6.3,u,2,2,1,1,0,704000
444,19/11/2016,Armadale,3143,-37.8596,145.0198,6.3,u,2,3,1,1,0,620000
445,22/05/2016,Armadale,3143,-37.8559,145.0158,6.3,h,3,3,1,2,328,1900000
449,22/08/2016,Armadale,3143,-37.8575,145.0174,6.3,u,1,1,1,1,0,315000
452,24/09/2016,Armadale,3143,-37.8509,145.0203,6.3,u,1,1,1,1,0,450000
453,25/02/2017,Armadale,3143,-37.8573,145.0186,6.3,u,2,2,1,1,2471,710000
454,25/02/2017,Armadale,3143,-37.8604,145.0147,6.3,u,2,2,1,1,1194,872000
455,25/02/2017,Armadale,3143,-37.8593,145.0156,6.3,u,2,2,1,1,0,598000
457,25/02/2017,Armadale,3143,-37.8554,145.0173,6.3,h,3,3,1,2,186,1285000
458,25/02/2017,Armadale,3143,-37.8593,145.0275,6.3,h,4,4,3,2,421,3660000
461,27/06/2016,Armadale,3143,-37.8618,145.0183,6.3,u,2,1,1,1,0,520000
465,27/11/2016,Armadale,3143,-37.8574,145.016,6.3,h,4,4,1,2,709,3625000
466,27/11/2016,Armadale,3143,-37.8582,145.0138,6.3,h,4,4,3,3,563,4200000
467,27/11/2016,Armadale,3143,-37.8542,145.0135,6.3,t,3,3,1,2,103,1101000
468,27/11/2016,Armadale,3143,-37.8557,145.0264,6.3,h,3,3,2,2,617,3512500
471,28/05/2016,Armadale,3143,-37.8611,145.0195,6.3,h,4,4,3,4,544,2000000
473,28/05/2016,Armadale,3143,-37.853,145.0264,6.3,u,3,2,1,1,0,869000
478,28/08/2016,Armadale,3143,-37.8611,145.0271,6.3,h,5,5,2,2,617,2810000
479,28/08/2016,Armadale,3143,-37.8573,145.0112,6.3,u,2,3,1,1,0,565000
480,28/08/2016,Armadale,3143,-37.8549,145.0113,6.3,u,1,1,1,1,0,567000
481,30/07/2016,Armadale,3143,-37.8568,145.0161,6.3,u,2,2,0,0,0,546000
483,30/07/2016,Armadale,3143,-37.8503,145.0185,6.3,u,2,2,1,1,0,471500
485,3/09/2016,Ascot Vale,3032,-37.7756,144.9165,5.9,u,2,3,1,2,0,455000
486,3/12/2016,Ascot Vale,3032,-37.7777,144.9195,5.9,h,3,3,1,2,298,940000
487,3/12/2016,Ascot Vale,3032,-37.7761,144.9201,5.9,u,2,2,1,1,0,467000
490,4/03/2017,Ascot Vale,3032,-37.7777,144.9221,5.9,h,3,3,2,2,277,1380000
491,4/03/2017,Ascot Vale,3032,-37.7736,144.9015,5.9,u,2,2,1,1,423,490000
492,4/03/2017,Ascot Vale,3032,-37.7729,144.9179,5.9,h,4,4,3,1,478,1850000
493,4/03/2017,Ascot Vale,3032,-37.7758,144.9089,5.9,h,3,3,1,2,623,1284000
494,4/06/2016,Ascot Vale,3032,-37.775,144.9091,5.9,h,3,3,2,2,285,971000
